wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 0.101626, 0.00347425, 0.0054019, 0.041024, 0.00415048, 0.0039977, 0.00537415, 0.00823479, 0.00905141, 0.0105512
64, 3, 3, 3, 4, 4, 1, 1, 0.20475, 0.00457683, 0.00639664, 0.0798977, 0.00523138, 0.00590849, 0.00722899, 0.0106144, 0.0113153, 0.0149338
128, 3, 3, 3, 4, 4, 1, 1, 0.400881, 0.00706994, 0.00906487, 0.160875, 0.00781299, 0.00999041, 0.011288, 0.0151497, 0.0162845, 0.0237541
256, 3, 3, 3, 4, 4, 1, 1, 0.798722, 0.0121883, 0.0138962, 0.32271, 0.0127197, 0.0180884, 0.0195986, 0.0244535, 0.0261657, 0.0411862
512, 3, 3, 3, 4, 4, 1, 1, 1.56834, 0.0215304, 0.0233721, 0.66988, 0.0222015, 0.0340275, 0.0351716, 0.0427789, 0.0465246, 0.0773395
32, 3, 3, 32, 4, 4, 1, 1, 0.976953, 0.0156026, 0.0468955, 0.0539607, 0.0297089, 0.027245, 0.0422833, 0.018472, 0.0214362, 0.0211015
64, 3, 3, 32, 4, 4, 1, 1, 1.98849, 0.026244, 0.0574185, 0.110448, 0.0400705, 0.0394135, 0.0537172, 0.0281468, 0.0327054, 0.0338616
128, 3, 3, 32, 4, 4, 1, 1, 3.98571, 0.0491642, 0.0824538, 0.240269, 0.0676315, 0.0708316, 0.0833194, 0.0501102, 0.0589484, 0.0612595
256, 3, 3, 32, 4, 4, 1, 1, 7.99841, 0.0930925, 0.12791, 0.429897, 0.10785, 0.124347, 0.142613, 0.0936856, 0.109409, 0.116604
512, 3, 3, 32, 4, 4, 1, 1, 15.9, 0.180636, 0.212899, 0.869097, 0.19444, 0.233473, 0.247379, 0.178162, 0.205677, 0.220361
32, 3, 3, 64, 4, 4, 1, 1, 1.97323, 0.0293049, 0.0938791, 0.068956, 0.0587199, 0.0519913, 0.0802311, 0.0303269, 0.0345375, 0.0329837
64, 3, 3, 64, 4, 4, 1, 1, 4.28974, 0.0519913, 0.116686, 0.138389, 0.0804894, 0.0782595, 0.106952, 0.0513769, 0.0589623, 0.0574977
128, 3, 3, 64, 4, 4, 1, 1, 7.99206, 0.0952744, 0.158964, 0.271057, 0.125534, 0.130582, 0.15868, 0.091191, 0.105374, 0.103734
256, 3, 3, 64, 4, 4, 1, 1, 16.3484, 0.185805, 0.249675, 0.547046, 0.215983, 0.244358, 0.274725, 0.172058, 0.199045, 0.197668
512, 3, 3, 64, 4, 4, 1, 1, 31.4563, 0.35868, 0.431865, 1.10397, 0.39032, 0.460829, 0.490972, 0.348398, 0.405596, 0.396905
32, 3, 3, 128, 4, 4, 1, 1, 4.0096, 0.0567279, 0.184948, 0.1001, 0.115714, 0.101358, 0.158078, 0.0552547, 0.0625313, 0.0580114
64, 3, 3, 128, 4, 4, 1, 1, 7.95873, 0.100806, 0.229404, 0.197668, 0.159236, 0.154162, 0.220795, 0.0961354, 0.110278, 0.103284
128, 3, 3, 128, 4, 4, 1, 1, 16.0031, 0.190621, 0.322022, 0.401043, 0.249302, 0.260688, 0.317121, 0.170416, 0.204289, 0.18822
256, 3, 3, 128, 4, 4, 1, 1, 31.4625, 0.373692, 0.502108, 0.811021, 0.434115, 0.486006, 0.54145, 0.348329, 0.388354, 0.368262
512, 3, 3, 128, 4, 4, 1, 1, 62.7, 0.717647, 0.845608, 1.58139, 0.776124, 0.917431, 0.964162, 0.750525, 0.862931, 0.817484
32, 3, 3, 256, 4, 4, 1, 1, 7.80615, 0.113585, 0.370244, 0.16292, 0.23072, 0.20202, 0.319949, 0.105064, 0.118906, 0.107968
64, 3, 3, 256, 4, 4, 1, 1, 15.7188, 0.198255, 0.456296, 0.323415, 0.318257, 0.301993, 0.417446, 0.179763, 0.206824, 0.190476
128, 3, 3, 256, 4, 4, 1, 1, 31.1294, 0.384692, 0.640461, 0.637325, 0.502613, 0.528089, 0.633038, 0.344017, 0.397852, 0.366105
256, 3, 3, 256, 4, 4, 1, 1, 62.9875, 0.747015, 1.01051, 1.29021, 0.862069, 0.965125, 1.06902, 0.786164, 0.85247, 0.789117
512, 3, 3, 256, 4, 4, 1, 1, 124.26, 1.47147, 1.72897, 2.5467, 1.58291, 1.84081, 1.94747, 1.70751, 1.93992, 1.80614
32, 3, 3, 512, 4, 4, 1, 1, 15.4697, 0.228565, 0.741988, 0.289687, 0.468978, 0.403793, 0.626942, 0.202634, 0.234679, 0.208462
