wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 0.0157749, 0.00180713, 0.00207459, 0.0281643, 0.0019352, 0.00229016, 0.0023511, 0.0036106, 0.0052702, 0.00434205
64, 3, 3, 3, 4, 4, 1, 1, 0.0309732, 0.0028876, 0.0031293, 0.056478, 0.00298073, 0.00356682, 0.00366201, 0.00484853, 0.00710288, 0.00561444
128, 3, 3, 3, 4, 4, 1, 1, 0.0631951, 0.00514319, 0.00538573, 0.113404, 0.00531779, 0.00652375, 0.00645103, 0.00695188, 0.0104864, 0.00826282
256, 3, 3, 3, 4, 4, 1, 1, 0.123634, 0.00950227, 0.00980834, 0.232173, 0.00960523, 0.0118658, 0.0119609, 0.0115516, 0.0173865, 0.0138773
512, 3, 3, 3, 4, 4, 1, 1, 0.254504, 0.0185062, 0.0184481, 0.658158, 0.0182382, 0.0552975, 0.0542358, 0.0220003, 0.0344519, 0.0270577
32, 3, 3, 32, 4, 4, 1, 1, 0.133049, 0.013101, 0.0171438, 0.0885112, 0.0149535, 0.0179572, 0.0184659, 0.0141459, 0.0184659, 0.0148346
64, 3, 3, 32, 4, 4, 1, 1, 0.266667, 0.061177, 0.0645828, 0.136986, 0.0625626, 0.0714286, 0.0710328, 0.0222906, 0.0294395, 0.0253884
128, 3, 3, 32, 4, 4, 1, 1, 0.535653, 0.0669792, 0.0717669, 0.221185, 0.0696864, 0.0862069, 0.0830703, 0.0415593, 0.0528877, 0.045901
256, 3, 3, 32, 4, 4, 1, 1, 1.06695, 0.0916086, 0.0956572, 0.387674, 0.0921489, 0.106293, 0.103864, 0.0797703, 0.100888, 0.0886368
512, 3, 3, 32, 4, 4, 1, 1, 2.12766, 0.12288, 0.125219, 0.809871, 0.123695, 0.150105, 0.148354, 0.15753, 0.493097, 0.311651
32, 3, 3, 64, 4, 4, 1, 1, 0.278396, 0.0659544, 0.0757805, 0.105175, 0.0721189, 0.0824946, 0.0823045, 0.0248053, 0.0317682, 0.0272851
64, 3, 3, 64, 4, 4, 1, 1, 0.555161, 0.0711136, 0.0812216, 0.16072, 0.0783822, 0.0885897, 0.0891902, 0.0427277, 0.0542064, 0.0490244
128, 3, 3, 64, 4, 4, 1, 1, 1.12108, 0.0890313, 0.0980969, 0.261422, 0.0941442, 0.109745, 0.109314, 0.0830979, 0.102838, 0.0912909
256, 3, 3, 64, 4, 4, 1, 1, 2.21903, 0.12276, 0.130617, 0.461773, 0.126544, 0.161186, 0.159949, 0.156691, 0.491937, 0.307376
512, 3, 3, 64, 4, 4, 1, 1, 4.60275, 0.194819, 0.198847, 1.01667, 0.197434, 0.253987, 0.258717, 0.570582, 0.699441, 0.573968
32, 3, 3, 128, 4, 4, 1, 1, 0.567347, 0.0847483, 0.104998, 0.115982, 0.099167, 0.120395, 0.11976, 0.0474563, 0.0595948, 0.0520021
64, 3, 3, 128, 4, 4, 1, 1, 1.13145, 0.0962835, 0.115101, 0.186326, 0.107388, 0.129593, 0.129735, 0.0861623, 0.107945, 0.0960061
128, 3, 3, 128, 4, 4, 1, 1, 2.25225, 0.129433, 0.147002, 0.317322, 0.141044, 0.17325, 0.172295, 0.15781, 0.504642, 0.311915
256, 3, 3, 128, 4, 4, 1, 1, 4.49732, 0.19581, 0.209862, 0.588588, 0.203087, 0.263263, 0.262986, 0.498604, 0.662252, 0.567007
512, 3, 3, 128, 4, 4, 1, 1, 9.20364, 0.329578, 0.341763, 1.12867, 0.335796, 0.440493, 0.440405, 0.929368, 0.847458, 0.818137
32, 3, 3, 256, 4, 4, 1, 1, 1.13583, 0.124224, 0.166003, 0.152346, 0.151607, 0.185497, 0.185736, 0.0949307, 0.11936, 0.104734
64, 3, 3, 256, 4, 4, 1, 1, 2.27149, 0.14455, 0.182319, 0.255363, 0.169239, 0.203499, 0.206824, 0.170044, 0.52278, 0.322229
128, 3, 3, 256, 4, 4, 1, 1, 4.56273, 0.208507, 0.243121, 0.453993, 0.231267, 0.291715, 0.294697, 0.510612, 0.683743, 0.580626
256, 3, 3, 256, 4, 4, 1, 1, 9.09273, 0.33593, 0.36557, 0.828146, 0.35569, 0.463577, 0.468258, 0.930483, 0.870261, 0.839933
512, 3, 3, 256, 4, 4, 1, 1, 18.1893, 0.6006, 0.624719, 1.61419, 0.614233, 0.820656, 0.827438, 1.87491, 1.27954, 1.34129
32, 3, 3, 512, 4, 4, 1, 1, 2.34766, 0.203998, 0.28169, 0.230993, 0.264376, 0.321337, 0.326649, 0.185943, 0.619431, 0.381617
64, 3, 3, 512, 4, 4, 1, 1, 4.55091, 0.241779, 0.310683, 0.401364, 0.298627, 0.360707, 0.366447, 0.521585, 0.686694, 0.581395
128, 3, 3, 512, 4, 4, 1, 1, 9.13636, 0.367377, 0.435627, 0.730219, 0.422739, 0.528089, 0.535546, 0.885664, 0.8726, 0.8125
256, 3, 3, 512, 4, 4, 1, 1, 18.2857, 0.624719, 0.685068, 1.41412, 0.66988, 0.871603, 0.879965, 1.70544, 1.31178, 1.30417
512, 3, 3, 512, 4, 4, 1, 1, 36.4571, 1.1676, 1.20942, 2.83672, 1.20385, 1.60641, 1.61974, 3.52887, 2.14103, 2.40817
32, 3, 3, 3, 8, 8, 1, 1, 0.0618659, 0.0051686, 0.00492684, 0.0635566, 0.00469925, 0.00587447, 0.00600774, 0.00973539, 0.0131382, 0.0112271
64, 3, 3, 3, 8, 8, 1, 1, 0.12364, 0.00787389, 0.00770013, 0.128733, 0.00746904, 0.00913876, 0.00926423, 0.0128208, 0.0176423, 0.0148386
128, 3, 3, 3, 8, 8, 1, 1, 0.247697, 0.0135417, 0.0132792, 0.437445, 0.012986, 0.0536826, 0.0521757, 0.01925, 0.0273463, 0.0232019
256, 3, 3, 3, 8, 8, 1, 1, 0.493393, 0.054095, 0.0541243, 0.703797, 0.0533163, 0.0593331, 0.0583363, 0.034559, 0.0478011, 0.0409065
512, 3, 3, 3, 8, 8, 1, 1, 0.987968, 0.0617132, 0.0625939, 1.28056, 0.0608717, 0.0712352, 0.0698032, 0.0652401, 0.0933707, 0.0798212
32, 3, 3, 32, 8, 8, 1, 1, 0.529873, 0.0751202, 0.0826037, 0.140174, 0.0776518, 0.10101, 0.0960984, 0.0353207, 0.0437369, 0.0390656
64, 3, 3, 32, 8, 8, 1, 1, 1.06652, 0.0811293, 0.0874585, 0.220653, 0.0827678, 0.105219, 0.10022, 0.0554754, 0.0692713, 0.0642096
128, 3, 3, 32, 8, 8, 1, 1, 2.11814, 0.0975229, 0.103391, 0.456296, 0.0977326, 0.120861, 0.118199, 0.0965624, 0.456621, 0.44843
256, 3, 3, 32, 8, 8, 1, 1, 4.43097, 0.128139, 0.128958, 0.853754, 0.1241, 0.151286, 0.1467, 0.491839, 0.49623, 0.48677
512, 3, 3, 32, 8, 8, 1, 1, 9.32222, 0.177683, 0.176243, 1.50813, 0.17337, 0.220653, 0.216169, 0.616379, 0.635152, 0.617284
