wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 0.0183392, 0.00242323, 0.00249382, 0.0365631, 0.00237979, 0.00275832, 0.00284477, 0.00607224, 0.00775482, 0.00657877
64, 3, 3, 3, 4, 4, 1, 1, 0.0345185, 0.00363938, 0.00373818, 0.0723589, 0.00360425, 0.0042584, 0.00437848, 0.00683845, 0.00942418, 0.00785003
128, 3, 3, 3, 4, 4, 1, 1, 0.068918, 0.00621574, 0.00633681, 0.144342, 0.00618146, 0.00748794, 0.00759705, 0.00869202, 0.0126698, 0.0101707
256, 3, 3, 3, 4, 4, 1, 1, 0.137997, 0.0113556, 0.0114671, 0.294638, 0.0112976, 0.013787, 0.0138958, 0.0123999, 0.019256, 0.0153257
512, 3, 3, 3, 4, 4, 1, 1, 0.276604, 0.021428, 0.021661, 0.894812, 0.021439, 0.176714, 0.177117, 0.0211354, 0.0346981, 0.0278009
32, 3, 3, 32, 4, 4, 1, 1, 0.149835, 0.0161228, 0.0187217, 0.142328, 0.0165541, 0.0196094, 0.0193633, 0.0135729, 0.018938, 0.0158474
64, 3, 3, 32, 4, 4, 1, 1, 0.29656, 0.052532, 0.0575838, 0.247085, 0.0547585, 0.0598444, 0.0597657, 0.0194039, 0.0276365, 0.0228864
128, 3, 3, 32, 4, 4, 1, 1, 0.591834, 0.0578436, 0.0884486, 0.504945, 0.0715717, 0.0948947, 0.0942152, 0.0329859, 0.0473619, 0.0395413
256, 3, 3, 32, 4, 4, 1, 1, 1.21186, 0.103885, 0.107388, 0.668358, 0.103821, 0.112284, 0.109721, 0.0587613, 0.0864603, 0.0737137
512, 3, 3, 32, 4, 4, 1, 1, 2.4478, 0.212766, 0.20982, 0.94162, 0.19861, 0.205, 0.210126, 0.11885, 1.55015, 0.727471
32, 3, 3, 64, 4, 4, 1, 1, 0.316984, 0.0320492, 0.0380981, 0.16964, 0.0341553, 0.0396574, 0.0403258, 0.0227108, 0.031736, 0.026462
64, 3, 3, 64, 4, 4, 1, 1, 0.621739, 0.0687663, 0.0757576, 0.258903, 0.0731101, 0.0854263, 0.0862366, 0.0363716, 0.0509528, 0.0450735
128, 3, 3, 64, 4, 4, 1, 1, 1.25879, 0.0921829, 0.104976, 0.492808, 0.105463, 0.118624, 0.118591, 0.0657808, 0.0893176, 0.0754375
256, 3, 3, 64, 4, 4, 1, 1, 2.4598, 0.11999, 0.137893, 0.67832, 0.125755, 0.146456, 0.154703, 0.11236, 0.7854, 0.517702
512, 3, 3, 64, 4, 4, 1, 1, 4.93235, 0.259119, 0.272035, 0.980431, 0.269849, 0.277833, 0.270709, 1.62136, 1.6711, 1.58889
32, 3, 3, 128, 4, 4, 1, 1, 0.629057, 0.0639141, 0.0745935, 0.194477, 0.0677599, 0.079139, 0.0813273, 0.0426003, 0.0584864, 0.0493681
64, 3, 3, 128, 4, 4, 1, 1, 1.30052, 0.103627, 0.120043, 0.282008, 0.112918, 0.136416, 0.138122, 0.0728757, 0.0985804, 0.0838082
128, 3, 3, 128, 4, 4, 1, 1, 2.5035, 0.141471, 0.154847, 0.524528, 0.144383, 0.172746, 0.177242, 0.11854, 0.4, 0.334068
256, 3, 3, 128, 4, 4, 1, 1, 5.01, 0.177242, 0.213858, 0.703376, 0.196464, 0.234412, 0.250601, 0.815309, 0.816639, 0.827107
512, 3, 3, 128, 4, 4, 1, 1, 9.99608, 0.305998, 0.32175, 1.00968, 0.291774, 0.361867, 0.35868, 1.65894, 1.71541, 1.66213
32, 3, 3, 256, 4, 4, 1, 1, 1.26071, 0.129634, 0.151683, 0.247525, 0.139315, 0.162793, 0.169319, 0.0864603, 0.118147, 0.0993049
64, 3, 3, 256, 4, 4, 1, 1, 2.5467, 0.177242, 0.202798, 0.294638, 0.186081, 0.24407, 0.251813, 0.132372, 0.449506, 0.245196
128, 3, 3, 256, 4, 4, 1, 1, 5.08788, 0.21777, 0.239006, 0.523117, 0.229931, 0.274232, 0.28169, 0.439719, 0.501805, 0.443656
256, 3, 3, 256, 4, 4, 1, 1, 10.106, 0.284366, 0.309715, 0.750075, 0.302785, 0.355256, 0.355185, 0.861446, 0.894454, 0.861618
512, 3, 3, 256, 4, 4, 1, 1, 20.34, 0.424533, 0.438441, 1.06738, 0.436387, 0.494857, 0.569283, 1.82591, 1.82145, 1.80072
32, 3, 3, 512, 4, 4, 1, 1, 2.55255, 0.265393, 0.306683, 0.269251, 0.289635, 0.328431, 0.342368, 0.162813, 0.22748, 0.188504
64, 3, 3, 512, 4, 4, 1, 1, 5.06667, 0.331698, 0.37017, 0.337062, 0.353357, 0.449013, 0.465642, 0.507404, 0.583333, 0.526078
128, 3, 3, 512, 4, 4, 1, 1, 10.2469, 0.371068, 0.406169, 0.538644, 0.39409, 0.492611, 0.493978, 0.743239, 0.92974, 0.852129
256, 3, 3, 512, 4, 4, 1, 1, 20.364, 0.439367, 0.498207, 0.907065, 0.468007, 0.561616, 0.571429, 0.997012, 1.11403, 1.02393
512, 3, 3, 512, 4, 4, 1, 1, 40.8077, 0.631818, 0.646124, 1.40758, 0.628392, 0.790837, 0.814821, 2.228, 2.3472, 2.3213
32, 3, 3, 3, 8, 8, 1, 1, 0.068738, 0.00648239, 0.00548974, 0.0742942, 0.0051557, 0.00652844, 0.006593, 0.0131323, 0.0169906, 0.0147628
64, 3, 3, 3, 8, 8, 1, 1, 0.137239, 0.00971289, 0.00867574, 0.148354, 0.00841779, 0.0102781, 0.0104082, 0.0164989, 0.0221161, 0.01878
128, 3, 3, 3, 8, 8, 1, 1, 0.275138, 0.0160179, 0.0150426, 0.672043, 0.014758, 0.0633714, 0.0575374, 0.0233558, 0.0326755, 0.0281627
256, 3, 3, 3, 8, 8, 1, 1, 0.550495, 0.1, 0.104275, 0.93985, 0.100705, 0.107112, 0.100867, 0.038625, 0.0549511, 0.0467902
512, 3, 3, 3, 8, 8, 1, 1, 1.1022, 0.202634, 0.195275, 1.40787, 0.195428, 0.19992, 0.1998, 0.070492, 0.102438, 0.0864006
32, 3, 3, 32, 8, 8, 1, 1, 0.590673, 0.0757346, 0.0770535, 0.301628, 0.0705418, 0.109938, 0.105753, 0.041278, 0.05204, 0.0470633
64, 3, 3, 32, 8, 8, 1, 1, 1.17906, 0.0898957, 0.0924727, 0.510092, 0.0880747, 0.126231, 0.122549, 0.061736, 0.0773515, 0.0692425
128, 3, 3, 32, 8, 8, 1, 1, 2.35849, 0.133253, 0.139615, 0.70536, 0.127, 0.145391, 0.14339, 0.100664, 0.472427, 0.475475
256, 3, 3, 32, 8, 8, 1, 1, 4.73302, 0.196078, 0.20995, 0.996016, 0.194856, 0.228976, 0.216775, 0.88968, 0.876357, 0.917431
512, 3, 3, 32, 8, 8, 1, 1, 9.43774, 0.250376, 0.252653, 1.46774, 0.247329, 0.274629, 0.272144, 1.7486, 1.80939, 1.80504
32, 3, 3, 64, 8, 8, 1, 1, 1.23251, 0.112613, 0.120019, 0.297738, 0.111907, 0.158428, 0.148795, 0.0761035, 0.0907276, 0.0827404
64, 3, 3, 64, 8, 8, 1, 1, 2.48267, 0.140174, 0.15083, 0.523326, 0.141163, 0.173646, 0.163645, 0.11236, 0.440917, 0.434666
128, 3, 3, 64, 8, 8, 1, 1, 4.92255, 0.17313, 0.190008, 0.69986, 0.176714, 0.217624, 0.207297, 0.620347, 0.576932, 0.617284
256, 3, 3, 64, 8, 8, 1, 1, 9.85882, 0.233848, 0.255544, 1.0103, 0.247402, 0.297148, 0.290587, 0.998403, 0.990099, 0.998004
512, 3, 3, 64, 8, 8, 1, 1, 19.7846, 0.320307, 0.34575, 1.54475, 0.342671, 0.404531, 0.403877, 1.82291, 1.86059, 1.95058
32, 3, 3, 128, 8, 8, 1, 1, 2.5095, 0.170566, 0.201167, 0.308133, 0.196967, 0.238711, 0.230673, 0.138966, 0.610867, 0.598565
64, 3, 3, 128, 8, 8, 1, 1, 5.01, 0.233473, 0.253729, 0.515567, 0.25378, 0.264743, 0.255624, 0.505865, 0.458478, 0.418311
128, 3, 3, 128, 8, 8, 1, 1, 10.08, 0.248361, 0.273129, 0.74163, 0.273184, 0.336247, 0.327356, 0.85051, 0.818331, 0.838023
256, 3, 3, 128, 8, 8, 1, 1, 20.036, 0.324174, 0.34633, 1.01894, 0.346468, 0.416833, 0.404285, 1.02669, 1.01914, 1.0024
512, 3, 3, 128, 8, 8, 1, 1, 40.0077, 0.466263, 0.47674, 1.74425, 0.490196, 0.54295, 0.55371, 1.9469, 1.91031, 1.93629
32, 3, 3, 256, 8, 8, 1, 1, 5.0697, 0.298271, 0.329796, 0.328084, 0.336247, 0.391621, 0.385285, 0.530786, 0.685871, 0.670777
64, 3, 3, 256, 8, 8, 1, 1, 10.14, 0.41632, 0.454727, 0.516202, 0.450857, 0.48705, 0.478469, 0.623441, 0.727802, 0.627068
128, 3, 3, 256, 8, 8, 1, 1, 20.516, 0.434666, 0.461255, 0.805636, 0.457221, 0.567007, 0.568942, 0.997809, 0.968085, 0.947538
256, 3, 3, 256, 8, 8, 1, 1, 40.5923, 0.505253, 0.547645, 1.17143, 0.528511, 0.646382, 0.63384, 1.48136, 1.16667, 1.18137
512, 3, 3, 256, 8, 8, 1, 1, 81, 0.762348, 0.749551, 2.07066, 0.776553, 0.864076, 0.86875, 2.09247, 2.03333, 2.08174
32, 3, 3, 512, 8, 8, 1, 1, 10.2041, 0.543322, 0.667824, 0.364504, 0.635152, 0.741037, 0.737261, 0.683197, 0.834167, 0.793027
64, 3, 3, 512, 8, 8, 1, 1, 20.22, 0.765138, 0.882716, 0.652151, 0.844595, 0.947727, 0.950095, 0.920994, 0.98563, 0.943962
128, 3, 3, 512, 8, 8, 1, 1, 40.7462, 0.810535, 0.938274, 0.962885, 0.89287, 1.12242, 1.1298, 1.25754, 1.35827, 1.2798
256, 3, 3, 512, 8, 8, 1, 1, 81.5143, 0.886018, 1.04292, 1.5145, 1.00604, 1.2, 1.17488, 1.73218, 1.7773, 1.57673
