wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 0.017337, 0.00114083, 0.00128026, 0.0484496, 0.00125448, 0.00137361, 0.00152372, 0.00404495, 0.00393215, 0.00376446
64, 3, 3, 3, 4, 4, 1, 1, 0.0331257, 0.00168033, 0.00178902, 0.0818063, 0.00164864, 0.00180868, 0.00186853, 0.0039758, 0.00450459, 0.00451892
128, 3, 3, 3, 4, 4, 1, 1, 0.0616219, 0.0026012, 0.00281497, 0.165761, 0.00268582, 0.00310623, 0.00319069, 0.00532028, 0.00658874, 0.00629659
256, 3, 3, 3, 4, 4, 1, 1, 0.121566, 0.00468156, 0.00488668, 0.412541, 0.00480072, 0.0102497, 0.0108415, 0.00818049, 0.0115226, 0.0105214
512, 3, 3, 3, 4, 4, 1, 1, 0.257784, 0.00817996, 0.0104539, 0.845101, 0.0110936, 0.0188324, 0.0182043, 0.0156402, 0.0378415, 0.0257069
32, 3, 3, 32, 4, 4, 1, 1, 0.132979, 0.0202856, 0.0201386, 0.058214, 0.0178968, 0.0228415, 0.0196009, 0.00640615, 0.00770523, 0.0067714
64, 3, 3, 32, 4, 4, 1, 1, 0.261559, 0.0219462, 0.0259808, 0.114469, 0.0228144, 0.0285845, 0.0256871, 0.00902674, 0.0125704, 0.0107935
128, 3, 3, 32, 4, 4, 1, 1, 0.522989, 0.0259242, 0.0251737, 0.215933, 0.0235361, 0.031295, 0.0253949, 0.0155788, 0.023566, 0.0197246
256, 3, 3, 32, 4, 4, 1, 1, 1.04749, 0.0220177, 0.0258625, 0.45317, 0.0236362, 0.0323185, 0.0293221, 0.0379622, 0.0667468, 0.0578302
512, 3, 3, 32, 4, 4, 1, 1, 2.10462, 0.0315896, 0.0334471, 0.82798, 0.0308947, 0.0428486, 0.0443066, 0.0867002, 0.136351, 0.130242
32, 3, 3, 64, 4, 4, 1, 1, 0.277008, 0.0295805, 0.0333734, 0.0557724, 0.030248, 0.0385089, 0.0342607, 0.00881461, 0.0119355, 0.0101935
64, 3, 3, 64, 4, 4, 1, 1, 0.549286, 0.0401542, 0.0471565, 0.115714, 0.0385654, 0.0543183, 0.0459559, 0.0147982, 0.02198, 0.0181951
128, 3, 3, 64, 4, 4, 1, 1, 1.09323, 0.0345566, 0.0425786, 0.229509, 0.0431928, 0.0501958, 0.0456454, 0.043399, 0.0716743, 0.0600601
256, 3, 3, 64, 4, 4, 1, 1, 2.20264, 0.0332712, 0.0442243, 0.458662, 0.042398, 0.068055, 0.0727061, 0.074184, 0.0970874, 0.090843
512, 3, 3, 64, 4, 4, 1, 1, 4.38947, 0.0461425, 0.0577901, 0.844764, 0.0586786, 0.0849041, 0.0760225, 0.0732708, 0.0886682, 0.0937383
32, 3, 3, 128, 4, 4, 1, 1, 0.56191, 0.0427095, 0.0644828, 0.0643087, 0.0465289, 0.0723694, 0.0565611, 0.015204, 0.0222559, 0.0183459
64, 3, 3, 128, 4, 4, 1, 1, 1.10887, 0.055212, 0.0781861, 0.116932, 0.0575109, 0.0811293, 0.0648761, 0.0362398, 0.0625626, 0.0530729
