wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 1.87052, 0.0602773, 0.0896861, 0.565311, 0.0532538, 0.066454, 0.0782595, 0.101771, 0.120366, 0.127577
64, 3, 3, 3, 4, 4, 1, 1, 3.71407, 0.0900739, 0.11936, 1.11969, 0.0829325, 0.111682, 0.123518, 0.153563, 0.192124, 0.206612
128, 3, 3, 3, 4, 4, 1, 1, 7.42794, 0.148928, 0.178253, 2.23438, 0.141764, 0.201005, 0.212718, 0.256674, 0.336902, 0.365036
256, 3, 3, 3, 4, 4, 1, 1, 14.8676, 0.267094, 0.296619, 4.47589, 0.260114, 0.381098, 0.39293, 0.471698, 0.632238, 0.688981
512, 3, 3, 3, 4, 4, 1, 1, 29.7294, 0.50332, 0.532801, 9.63019, 0.499102, 0.429074, 0.428449, 0.9163, 1.24378, 1.34906
32, 3, 3, 32, 4, 4, 1, 1, 18.2036, 0.342466, 0.878596, 0.749102, 0.460166, 0.5831, 0.702809, 0.349058, 0.482915, 0.422908
64, 3, 3, 32, 4, 4, 1, 1, 36.4, 0.320026, 0.93203, 1.45275, 0.463333, 0.614373, 0.743491, 0.644144, 0.906341, 0.78959
128, 3, 3, 32, 4, 4, 1, 1, 72.7714, 0.597017, 1.2024, 2.94588, 0.716905, 1.03644, 1.14862, 1.19689, 1.7486, 1.51848
256, 3, 3, 32, 4, 4, 1, 1, 145.525, 1.12957, 1.76092, 6.21975, 1.28256, 1.88792, 2.03293, 2.3684, 3.48056, 3.02349
512, 3, 3, 32, 4, 4, 1, 1, 291.4, 2.69462, 3.21474, 13.5514, 2.77747, 4.12541, 4.13223, 4.86214, 3.72519, 5.52418
32, 3, 3, 64, 4, 4, 1, 1, 36.15, 0.33604, 1.60417, 0.924769, 0.653133, 0.785557, 1.10752, 0.62956, 0.890925, 0.755891
64, 3, 3, 64, 4, 4, 1, 1, 72.2857, 0.598922, 1.81891, 1.86468, 0.894991, 1.21211, 1.46064, 1.18697, 1.69627, 1.43266
128, 3, 3, 64, 4, 4, 1, 1, 144.55, 1.15741, 2.35728, 3.86462, 1.42102, 2.07967, 2.27727, 2.26516, 3.334, 2.81573
256, 3, 3, 64, 4, 4, 1, 1, 289.4, 2.46127, 3.75299, 8.11774, 2.79888, 3.97302, 4.29573, 4.71495, 3.75373, 5.16907
512, 3, 3, 64, 4, 4, 1, 1, 579.2, 5.41398, 6.84865, 16.77, 5.89412, 8.0381, 8.5678, 4.70748, 7.27101, 6.00952
32, 3, 3, 128, 4, 4, 1, 1, 72.0857, 0.624254, 3.19299, 1.32891, 1.27157, 1.56304, 2.13234, 1.1844, 1.7116, 1.42131
64, 3, 3, 128, 4, 4, 1, 1, 144.125, 1.17488, 3.75373, 2.68556, 1.81522, 2.35849, 2.97798, 2.25202, 3.31656, 2.75495
128, 3, 3, 128, 4, 4, 1, 1, 288.55, 2.36792, 4.97426, 5.76818, 2.92456, 4.27863, 4.65463, 4.42478, 3.66861, 4.98218
256, 3, 3, 128, 4, 4, 1, 1, 577.3, 4.89417, 7.56567, 12.15, 5.47391, 7.95556, 8.44, 4.81154, 7.40735, 5.82791
512, 3, 3, 128, 4, 4, 1, 1, 1155, 10.6574, 13.5486, 24.1286, 11.3659, 16.3935, 16.6161, 9.16727, 14.5943, 11.2956
32, 3, 3, 256, 4, 4, 1, 1, 144, 1.26692, 6.3075, 2.23393, 2.48366, 3.20637, 4.19167, 2.37773, 3.47292, 2.85625
64, 3, 3, 256, 4, 4, 1, 1, 292.65, 2.27818, 7.84063, 4.52703, 3.72444, 4.88932, 6.08554, 4.46696, 3.61007, 4.74151
128, 3, 3, 256, 4, 4, 1, 1, 577.1, 4.63704, 10.2041, 9.81373, 5.98452, 8.7, 9.45094, 5.031, 7.26522, 5.97024
256, 3, 3, 256, 4, 4, 1, 1, 1154.5, 9.15818, 14.9382, 20.2423, 10.7128, 15.8812, 16.629, 9.32407, 14.6343, 11.2156
512, 3, 3, 256, 4, 4, 1, 1, 2309.1, 20.54, 25.35, 42.575, 21.9625, 30.9941, 31.525, 18.1714, 28.7889, 21.8565
32, 3, 3, 512, 4, 4, 1, 1, 289.1, 2.46749, 13.1842, 4.16667, 5.39247, 6.55974, 8.84912, 4.65463, 3.7037, 5.00594
64, 3, 3, 512, 4, 4, 1, 1, 578.8, 4.60459, 15.4788, 8.51356, 7.72462, 9.9451, 12.2244, 4.68224, 6.97639, 5.50769
128, 3, 3, 512, 4, 4, 1, 1, 1174.9, 9.18182, 19.6077, 17.4862, 12.2951, 16.7933, 19.5192, 9.63962, 14.5257, 11.707
256, 3, 3, 512, 4, 4, 1, 1, 2315.4, 18.1071, 29.1333, 35.7067, 21.9292, 30.1824, 32.225, 19.0556, 29.3111, 22.6565
512, 3, 3, 512, 4, 4, 1, 1, 4631.5, 40.7692, 50.93, 70.725, 44.4917, 61.9556, 64.6625, 37.9786, 60.2111, 46.3909
32, 3, 3, 3, 8, 8, 1, 1, 7.46418, 0.217908, 0.228565, 1.43524, 0.166556, 0.172414, 0.212357, 0.278862, 0.305437, 0.337973
64, 3, 3, 3, 8, 8, 1, 1, 14.8529, 0.327654, 0.337838, 2.864, 0.276243, 0.316319, 0.356125, 0.485063, 0.542625, 0.610989
128, 3, 3, 3, 8, 8, 1, 1, 29.7118, 0.545961, 0.55673, 5.4989, 0.497512, 0.256199, 0.291832, 0.915356, 1.0227, 1.1588
256, 3, 3, 3, 8, 8, 1, 1, 59.4778, 0.372375, 0.39992, 12.7975, 0.32601, 0.45349, 0.506174, 1.77972, 2.01205, 2.28539
512, 3, 3, 3, 8, 8, 1, 1, 118.94, 0.640026, 0.635995, 27.1316, 0.598445, 0.856336, 0.929128, 3.51119, 3.97619, 4.53063
32, 3, 3, 32, 8, 8, 1, 1, 72.8143, 0.492906, 1.63562, 1.80072, 0.869271, 0.717504, 1.19381, 1.23911, 1.5139, 1.43937
64, 3, 3, 32, 8, 8, 1, 1, 147.325, 0.80305, 1.9145, 3.62971, 1.15369, 1.14943, 1.57642, 2.30138, 2.85455, 2.71739
128, 3, 3, 32, 8, 8, 1, 1, 291.05, 1.39665, 2.53535, 7.41618, 1.75, 2, 2.41836, 4.44071, 2.03415, 2.1084
256, 3, 3, 32, 8, 8, 1, 1, 589.3, 2.72826, 3.80227, 16.2258, 3.0259, 3.94961, 4.26949, 3.53592, 3.76917, 4.10164
512, 3, 3, 32, 8, 8, 1, 1, 1180.2, 5.77586, 6.79189, 33.82, 6.03976, 7.84375, 8.3541, 7.05352, 7.65455, 7.67273
32, 3, 3, 64, 8, 8, 1, 1, 144.625, 0.847627, 3.34467, 2.23705, 1.75965, 1.38287, 2.38619, 2.31106, 2.86286, 2.63263
64, 3, 3, 64, 8, 8, 1, 1, 289.1, 1.43707, 3.96378, 4.49911, 2.37441, 2.23214, 3.25974, 4.30513, 1.9543, 1.89094
128, 3, 3, 64, 8, 8, 1, 1, 578.3, 2.71793, 5.22083, 9.63208, 3.57429, 4.17167, 4.97426, 3.39122, 3.63116, 3.7609
256, 3, 3, 64, 8, 8, 1, 1, 1157.7, 5.4129, 8.0871, 20.0577, 6.35063, 7.94921, 8.69828, 6.89726, 7.17286, 7.17143
