wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,PartiallyUnrolledInputExplicitOutPaddingConvolution,PartiallyUnrolledInputExplicitPaddingConvolution
32,3,3,3,4,4,1,1,0.0156878,0.00225376,0.00229828,0.0319,0.00219427,0.0025317,0.00258014,0.00675329,0.00867589,0.00748593
64,3,3,3,4,4,1,1,0.0307996,0.00334768,0.00338345,0.0630835,0.00325879,0.00392847,0.00403704,0.00752004,0.00979989,0.00843
128,3,3,3,4,4,1,1,0.0644828,0.00569632,0.00567949,0.126839,0.0055534,0.00668816,0.00672748,0.00908051,0.0125063,0.0104141
256,3,3,3,4,4,1,1,0.12339,0.0100074,0.00997845,0.257069,0.00985513,0.0126116,0.0131756,0.0124549,0.0181666,0.014928
512,3,3,3,4,4,1,1,0.245459,0.0187871,0.0186623,1.39194,0.0194318,0.514712,0.524869,0.0209486,0.0340113,0.0271783
32,3,3,32,4,4,1,1,0.163506,0.0169022,0.0201988,0.190369,0.0150362,0.0178603,0.0186762,0.0139307,0.0181587,0.0154545
64,3,3,32,4,4,1,1,0.266916,0.0972006,0.10227,0.536588,0.0894775,0.102312,0.0999001,0.0182802,0.0258813,0.0217998
128,3,3,32,4,4,1,1,0.532694,0.144718,0.153499,0.88254,0.143062,0.157363,0.147406,0.0318959,0.0446867,0.0372301
256,3,3,32,4,4,1,1,1.13705,0.216775,0.235674,1.01809,0.225677,0.220946,0.174216,0.0554324,0.0781739,0.065591
512,3,3,32,4,4,1,1,2.22444,0.394791,0.385516,1.27928,0.421314,0.266383,0.260469,0.108956,4.39474,1.47929
32,3,3,64,4,4,1,1,0.287084,0.0284463,0.0336338,0.27244,0.0301241,0.035189,0.0354836,0.0220245,0.0300661,0.0254013
64,3,3,64,4,4,1,1,0.570776,0.125282,0.133967,0.4999,0.123756,0.15009,0.149165,0.0346693,0.0471787,0.0403388
128,3,3,64,4,4,1,1,1.16573,0.161375,0.182017,0.849576,0.177054,0.20288,0.202347,0.06027,0.0840619,0.0703928
256,3,3,64,4,4,1,1,2.29587,0.142572,0.151515,0.978669,0.147959,0.157035,0.158479,0.103157,2.10336,0.861446
512,3,3,64,4,4,1,1,4.65556,0.32453,0.328515,1.24813,0.327869,0.342466,0.341201,4.54595,4.52613,4.51261
32,3,3,128,4,4,1,1,0.587544,0.0573658,0.0678702,0.269687,0.060423,0.0716127,0.073497,0.0396542,0.0541301,0.0459095
64,3,3,128,4,4,1,1,1.22122,0.166722,0.182282,0.423455,0.197006,0.249551,0.252653,0.0680828,0.08967,0.0771367
128,3,3,128,4,4,1,1,2.34742,0.238256,0.264743,0.828311,0.249725,0.302175,0.297856,0.108225,1.06738,0.488195
256,3,3,128,4,4,1,1,4.69159,0.17848,0.19444,0.962692,0.184775,0.207469,0.211102,2.11013,1.94186,2.1515
512,3,3,128,4,4,1,1,9.27222,0.388053,0.389945,1.18298,0.384255,0.420875,0.42211,4.09431,3.95591,4.12869
32,3,3,256,4,4,1,1,1.16465,0.110644,0.129702,0.274479,0.118339,0.138647,0.144342,0.0754148,0.102712,0.0871232
64,3,3,256,4,4,1,1,2.27773,0.315259,0.3367,0.3545,0.333178,0.420858,0.390859,0.117592,0.799042,0.379439
128,3,3,256,4,4,1,1,4.9,0.285339,0.394945,0.752331,0.362654,0.469484,0.460166,1.1809,1.3013,1.24863
256,3,3,256,4,4,1,1,9.1,0.249178,0.275385,0.901802,0.263402,0.309147,0.317991,2.17652,2.17435,2.25067
512,3,3,256,4,4,1,1,18.2214,0.50947,0.507505,1.23481,0.495937,0.572852,0.580278,4.09187,2.62565,3.65547
32,3,3,512,4,4,1,1,2.27104,0.224059,0.26096,0.213038,0.247012,0.278663,0.290529,0.140766,0.196002,0.170707
64,3,3,512,4,4,1,1,4.60367,0.556904,0.624594,0.374401,0.602651,0.763969,0.678697,0.819836,0.779595,0.864594
128,3,3,512,4,4,1,1,9.5717,0.41373,0.475928,0.679484,0.49001,0.557016,0.781123,1.30757,1.26709,1.35978
256,3,3,512,4,4,1,1,18.1821,0.40008,0.447717,1.00968,0.430551,0.52278,0.545365,1.17694,1.2602,1.20072
512,3,3,512,4,4,1,1,36.3571,0.776124,0.804984,1.56313,0.784169,0.907985,0.927222,2.70161,2.82303,2.74044
32,3,3,3,8,8,1,1,0.0619118,0.00574845,0.00486476,0.0654965,0.00479001,0.00573368,0.00586469,0.0129252,0.0164772,0.0143653
64,3,3,3,8,8,1,1,0.123056,0.00879569,0.00779691,0.128461,0.00739809,0.00898489,0.00934125,0.016429,0.0209872,0.0179707
128,3,3,3,8,8,1,1,0.268582,0.0142931,0.0133269,0.790995,0.0139684,0.0631792,0.0618888,0.0256371,0.0320266,0.0276106
256,3,3,3,8,8,1,1,0.529767,0.199681,0.20517,1.36114,0.174581,0.128172,0.1221,0.0372884,0.0498107,0.0444919
512,3,3,3,8,8,1,1,1.12382,0.232234,0.238939,1.80903,0.236183,0.239282,0.238892,0.0705716,0.104036,0.0890789
32,3,3,32,8,8,1,1,0.59988,0.129166,0.131441,0.230203,0.123671,0.16292,0.139626,0.0392218,0.0494315,0.0456663
64,3,3,32,8,8,1,1,1.15034,0.0952018,0.0906454,0.372173,0.0851209,0.0979048,0.09176,0.0692617,0.0855871,0.078125
128,3,3,32,8,8,1,1,2.60311,0.109866,0.113973,0.705501,0.107991,0.130107,0.125811,0.110865,0.538644,0.534759
256,3,3,32,8,8,1,1,5.34574,0.189791,0.195047,1.03113,0.190186,0.216732,0.215146,1.07259,1.09236,1.10865
512,3,3,32,8,8,1,1,10.8532,0.321672,0.325863,1.67625,0.321815,0.357286,0.353748,2.04918,2.16034,2.18734
32,3,3,64,8,8,1,1,1.3856,0.113482,0.128925,0.292285,0.191316,0.238777,0.219535,0.0747161,0.0818867,0.0733999
64,3,3,64,8,8,1,1,2.56122,0.229568,0.24782,0.647477,0.247158,0.287802,0.278142,0.0989707,1.10841,1.01275
128,3,3,64,8,8,1,1,4.46195,0.300842,0.296268,0.952571,0.181951,0.295452,0.345851,1.07073,1.03299,1.07296
256,3,3,64,8,8,1,1,10.086,0.214777,0.229148,1.22445,0.220741,0.246548,0.246112,1.74251,1.23071,1.19026
512,3,3,64,8,8,1,1,17.9857,0.418494,0.42517,1.70956,0.424979,0.456387,0.464253,2.29358,2.2629,2.27059
32,3,3,128,8,8,1,1,2.30229,0.303396,0.310298,0.295044,0.313409,0.350701,0.342936,0.123062,0.874126,0.866551
64,3,3,128,8,8,1,1,4.51802,0.395336,0.393548,0.538536,0.411011,0.452489,0.414156,0.873473,1.17009,0.948767
128,3,3,128,8,8,1,1,9.07143,0.413223,0.454545,0.922284,0.451852,0.544662,0.547864,1.31974,1.3527,1.27455
256,3,3,128,8,8,1,1,18.1571,0.294464,0.306373,1.15543,0.30681,0.370244,0.363062,1.28031,1.23399,1.2358
512,3,3,128,8,8,1,1,36.4714,0.573081,0.568295,1.81522,0.571543,0.636641,0.638138,2.41058,2.32454,2.31014
32,3,3,256,8,8,1,1,4.62294,0.529979,0.559732,0.274533,0.540865,0.617778,0.610122,0.943774,1.06426,1.02669
64,3,3,256,8,8,1,1,9.28333,0.741333,0.751051,0.570582,0.742942,0.826942,0.824547,1.17582,1.29793,1.26146
128,3,3,256,8,8,1,1,18.2821,0.677507,0.723589,0.958046,0.646065,0.832945,0.748802,1.54352,1.6538,1.5139
256,3,3,256,8,8,1,1,39.3,0.61995,0.579606,1.32005,0.507302,0.621615,0.642362,1.42564,1.37527,1.35162
512,3,3,256,8,8,1,1,75.0571,0.881834,0.864421,2.30507,0.895707,1.01914,1.02772,2.49403,2.63089,2.5115
32,3,3,512,8,8,1,1,9.26111,0.954962,1.05168,0.387374,0.9,1.09671,1.12081,1.15903,1.21383,1.36087
64,3,3,512,8,8,1,1,18.3929,1.42102,1.5006,0.670375,1.42244,1.52997,1.54185,1.74132,1.88308,1.89432
128,3,3,512,8,8,1,1,36.5786,1.02204,1.47067,1.16465,1.47009,1.91107,1.90038,2.24215,2.26471,2.28539
256,3,3,512,8,8,1,1,73.3571,0.867591,0.986417,1.68721,0.960653,1.16195,1.16846,1.59586,1.82628,1.60513
512,3,3,512,8,8,1,1,147.225,1.51088,1.54092,3.38514,1.51697,1.82847,1.7957,3.41837,3.50839,3.43151
32,3,3,3,16,16,1,1,0.249004,0.0200168,0.0165541,0.583664,0.0152704,0.0181937,0.0182389,0.0385862,0.0458926,0.0422226
64,3,3,3,16,16,1,1,0.496723,0.177466,0.192678,0.866263,0.129266,0.199681,0.211013,0.0511091,0.062135,0.0550116
128,3,3,3,16,16,1,1,0.991485,0.139187,0.135235,1.18979,0.130617,0.178162,0.177431,0.0748167,0.0930579,0.0817661
256,3,3,3,16,16,1,1,1.99442,0.143596,0.140163,1.75,0.1374,0.245678,0.246184,0.137931,0.199045,0.169871
512,3,3,3,16,16,1,1,4.12213,0.303582,0.2997,5.05354,0.299401,0.303398,0.302601,2.39378,2.38333,2.41106
32,3,3,32,16,16,1,1,2.2177,0.289913,0.317587,0.561798,0.295683,0.228624,0.237982,0.157165,1.7773,1.70136
64,3,3,32,16,16,1,1,4.43363,0.280325,0.197746,0.796975,0.212044,0.219974,0.220459,1.0521,1.19928,1.18416
128,3,3,32,16,16,1,1,9.72115,0.248139,0.227169,1.2024,0.226392,0.266773,0.273523,1.15903,1.55763,1.55794
256,3,3,32,16,16,1,1,17.8571,0.294638,0.275634,1.82774,0.279855,0.362654,0.372247,1.21626,2.15408,2.15991
512,3,3,32,16,16,1,1,35.8071,0.509572,0.515876,3.11366,0.516839,0.52563,0.530786,2.67807,2.64,2.66223
32,3,3,64,16,16,1,1,4.55091,0.440917,0.420168,0.555383,0.454909,0.351018,0.486103,1.51976,1.58671,1.76714
64,3,3,64,16,16,1,1,9.57736,0.31746,0.317322,0.832945,0.315322,0.323834,0.341201,1.72724,1.66246,1.48284
128,3,3,64,16,16,1,1,20.9792,0.402333,0.357541,1.2597,0.348329,0.40412,0.426706,1.20651,1.55046,1.54321
256,3,3,64,16,16,1,1,37.1143,0.48469,0.435509,2.13675,0.456153,0.547155,0.567764,1.34825,2.21372,2.21903
512,3,3,64,16,16,1,1,75.4571,0.750225,0.777916,3.69485,0.769692,0.780811,0.795072,2.91395,2.81404,2.83164
32,3,3,128,16,16,1,1,9.58302,0.506586,0.762195,0.54607,0.736819,0.678697,0.762652,1.7847,1.77314,1.75684
64,3,3,128,16,16,1,1,19.0185,0.517805,0.712091,0.883569,0.627068,0.58051,0.642931,1.47906,1.32979,1.27903
128,3,3,128,16,16,1,1,38.3071,0.569056,0.809871,1.44121,0.733871,0.701964,0.782942,1.3385,1.59268,1.56406
256,3,3,128,16,16,1,1,77.4714,0.734949,0.849915,2.44732,0.81615,0.893571,0.947348,1.58418,2.2638,2.25946
512,3,3,128,16,16,1,1,151.125,1.18765,1.28056,4.37043,1.24788,1.30313,1.35013,3.32318,3.25455,3.27386
32,3,3,256,16,16,1,1,19.0333,0.837124,1.10686,0.648638,1.10953,0.97165,1.13895,1.89245,1.78857,1.32354
64,3,3,256,16,16,1,1,38.7154,0.948106,1.09628,1.03066,1.10464,1.05772,1.14966,1.44352,1.43143,1.43295
128,3,3,256,16,16,1,1,85.6833,1.07109,1.33717,1.82883,1.29741,1.2335,1.28792,1.63693,1.81011,1.78607
256,3,3,256,16,16,1,1,159.825,1.42301,1.71821,3.1,1.64,1.66213,1.7051,2.05082,2.68075,2.65767
512,3,3,256,16,16,1,1,306.1,2.0805,2.30229,5.04,2.20749,2.37156,2.46897,4.03306,4.07317,4.03387
32,3,3,512,16,16,1,1,39.3846,1.30548,1.62071,0.709504,1.77766,1.58107,1.80975,1.82847,1.5136,1.45275
64,3,3,512,16,16,1,1,77.8,1.62435,1.74599,1.20337,1.79534,1.7734,2.02429,1.82327,1.76479,1.76714
128,3,3,512,16,16,1,1,155.55,1.76855,2.3507,2.1671,2.25631,2.16537,2.4797,2.28402,2.53687,2.47438
256,3,3,512,16,16,1,1,307.4,2.54772,3.00539,3.33444,2.98095,3.0963,3.27255,3.0681,3.77293,3.78496
512,3,3,512,16,16,1,1,613.1,3.95197,4.3687,6.15122,4.38609,4.61284,4.78095,5.69318,5.70227,5.57778
32,3,3,3,32,32,1,1,1.03665,0.693759,0.566893,0.995229,0.440529,0.633165,0.673082,0.147016,0.164995,0.153988
64,3,3,3,32,32,1,1,2.06461,0.589164,0.568182,1.96969,0.491454,0.49417,0.527743,0.215189,0.256776,0.226085
