wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,PartiallyUnrolledInputExplicitOutPaddingConvolution,PartiallyUnrolledInputExplicitPaddingConvolution
32,3,3,3,4,4,1,1,0.0184706,0.00126715,0.00152039,0.0482346,0.00136729,0.0014433,0.00150905,0.00394132,0.00426825,0.0042056
64,3,3,3,4,4,1,1,0.0363848,0.00186053,0.00211629,0.0961169,0.00196928,0.00214959,0.00221989,0.00476177,0.0054375,0.0052956
128,3,3,3,4,4,1,1,0.0726427,0.00308833,0.0033424,0.192272,0.00319105,0.0037141,0.00379983,0.00639582,0.00789316,0.00759526
256,3,3,3,4,4,1,1,0.145985,0.00556588,0.00583751,0.43715,0.00567808,0.00544828,0.00549457,0.00983942,0.0132615,0.0125764
512,3,3,3,4,4,1,1,0.291603,0.0119706,0.0114508,0.830731,0.011632,0.0161129,0.0164783,0.0181186,0.0461595,0.0310965
32,3,3,32,4,4,1,1,0.156771,0.0180753,0.0228536,0.0663834,0.0199569,0.0266766,0.0221278,0.00709774,0.00904764,0.00808564
64,3,3,32,4,4,1,1,0.312305,0.0219202,0.0308185,0.120303,0.0257493,0.0320472,0.0278738,0.0105737,0.0149822,0.0129136
128,3,3,32,4,4,1,1,0.626817,0.0259014,0.0243074,0.242933,0.0213693,0.0327118,0.0286763,0.0180174,0.0279689,0.0235239
256,3,3,32,4,4,1,1,1.25338,0.0311624,0.0318492,0.44405,0.0261192,0.0386967,0.0364272,0.046215,0.083668,0.0783945
512,3,3,32,4,4,1,1,2.51508,0.0391573,0.0410004,0.840672,0.036477,0.0481603,0.0471581,0.118231,0.105042,0.11343
32,3,3,64,4,4,1,1,0.326501,0.0358938,0.0494218,0.0708015,0.0403454,0.0421301,0.0377872,0.0104508,0.0142588,0.0122926
64,3,3,64,4,4,1,1,0.652021,0.0342654,0.0570972,0.127649,0.0465246,0.0525707,0.0462492,0.0172159,0.0260525,0.021708
128,3,3,64,4,4,1,1,1.30627,0.0361821,0.0415455,0.243951,0.0366892,0.057544,0.0534702,0.0411523,0.0924898,0.078703
256,3,3,64,4,4,1,1,2.60417,0.0365043,0.0504388,0.455789,0.0461936,0.0770891,0.0717669,0.0998602,0.100766,0.100766
512,3,3,64,4,4,1,1,5.21875,0.0563317,0.0715922,0.861618,0.0662954,0.0869868,0.0788892,0.0996214,0.103284,0.109505
32,3,3,128,4,4,1,1,0.666178,0.0361768,0.0740631,0.0711845,0.0534245,0.0813273,0.0632911,0.0179482,0.0259646,0.021707
64,3,3,128,4,4,1,1,1.32865,0.0452817,0.088574,0.129593,0.0641684,0.0961538,0.0759878,0.0446708,0.0857927,0.0702741
128,3,3,128,4,4,1,1,2.65185,0.0528821,0.0711035,0.25974,0.0639713,0.0953834,0.0821153,0.0990884,0.104998,0.101338
256,3,3,128,4,4,1,1,5.30737,0.0669254,0.0995421,0.591716,0.0891424,0.117481,0.109794,0.107504,0.123062,0.120598
512,3,3,128,4,4,1,1,10.6167,0.0877039,0.134273,0.90036,0.105263,0.153704,0.138773,0.134508,0.127649,0.126454
32,3,3,256,4,4,1,1,1.34771,0.0497468,0.121148,0.081686,0.0805932,0.1268,0.0964692,0.0442556,0.0844309,0.0720773
64,3,3,256,4,4,1,1,2.69032,0.0577034,0.119531,0.142694,0.0864454,0.12467,0.110595,0.125313,0.113843,0.119847
128,3,3,256,4,4,1,1,5.35851,0.0829325,0.145138,0.294235,0.10408,0.153186,0.126807,0.127584,0.125685,0.118287
256,3,3,256,4,4,1,1,10.7319,0.110059,0.174677,0.519378,0.137931,0.167673,0.168554,0.14997,0.133369,0.140331
512,3,3,256,4,4,1,1,21.5,0.152191,0.232775,0.97832,0.196426,0.308765,0.275537,0.21482,0.254763,0.227215
32,3,3,512,4,4,1,1,2.69355,0.0865501,0.218341,0.0960246,0.181437,0.182548,0.170999,0.136537,0.111309,0.11609
64,3,3,512,4,4,1,1,5.4086,0.0978474,0.197903,0.17572,0.167842,0.203252,0.193537,0.190621,0.168906,0.168271
128,3,3,512,4,4,1,1,10.7787,0.144999,0.242836,0.317928,0.219728,0.229463,0.237916,0.214133,0.178671,0.155438
256,3,3,512,4,4,1,1,21.5875,0.187303,0.276243,0.591489,0.250802,0.253293,0.296443,0.235563,0.234349,0.221381
512,3,3,512,4,4,1,1,43.1167,0.268294,0.421044,1.20216,0.352076,0.540973,0.49388,0.340109,0.420168,0.372301
32,3,3,3,8,8,1,1,0.0731422,0.00330585,0.00294985,0.101112,0.0026822,0.00331886,0.00349099,0.00663464,0.00745112,0.00729916
64,3,3,3,8,8,1,1,0.146015,0.0059152,0.00548035,0.30012,0.00521355,0.015243,0.0131634,0.00987147,0.0115939,0.0112859
128,3,3,3,8,8,1,1,0.291603,0.0137449,0.0147501,0.534509,0.0129453,0.0207727,0.0178132,0.0176342,0.0317138,0.0264802
256,3,3,3,8,8,1,1,0.582421,0.0171821,0.0199148,0.9998,0.0185398,0.0293032,0.0262247,0.0348432,0.0479616,0.054484
512,3,3,3,8,8,1,1,1.1655,0.0264117,0.0229695,1.99008,0.0213201,0.0285959,0.0254595,0.151791,0.116113,0.1146
32,3,3,32,8,8,1,1,0.625907,0.0437407,0.0588166,0.162655,0.0447588,0.0784068,0.0551086,0.0203625,0.0242225,0.0225317
64,3,3,32,8,8,1,1,1.25388,0.0425026,0.0648593,0.281962,0.0524274,0.0949687,0.0624532,0.053984,0.0751541,0.0743273
128,3,3,32,8,8,1,1,2.5015,0.0690989,0.0665336,0.545098,0.0560915,0.110742,0.082021,0.119161,0.116194,0.121832
256,3,3,32,8,8,1,1,5.009,0.0798722,0.0877039,1.0271,0.0709119,0.135833,0.0956938,0.140885,0.142967,0.147929
512,3,3,32,8,8,1,1,10.052,0.107342,0.122011,1.99087,0.0860437,0.154799,0.114364,0.194214,0.230933,0.240664
32,3,3,64,8,8,1,1,1.30836,0.0519319,0.128469,0.14245,0.0770179,0.161688,0.102166,0.0559159,0.0755515,0.0757805
64,3,3,64,8,8,1,1,2.61615,0.0744602,0.152237,0.295742,0.0927128,0.180476,0.117813,0.10367,0.084631,0.0952925
128,3,3,64,8,8,1,1,5.2375,0.0960799,0.149522,0.527983,0.0986777,0.196349,0.128238,0.1365,0.10867,0.115634
256,3,3,64,8,8,1,1,10.5104,0.125094,0.186359,0.993452,0.126646,0.23663,0.174773,0.163452,0.159706,0.174277
512,3,3,64,8,8,1,1,20.8708,0.169929,0.237756,1.98849,0.162707,0.288134,0.215933,0.205846,0.218436,0.235294
32,3,3,128,8,8,1,1,2.65608,0.0937207,0.17452,0.155569,0.133156,0.243121,0.169664,0.110346,0.0864178,0.0860882
64,3,3,128,8,8,1,1,5.32872,0.103477,0.207469,0.287853,0.158328,0.266099,0.184162,0.13624,0.106202,0.103864
128,3,3,128,8,8,1,1,10.6021,0.145674,0.23402,0.539806,0.176092,0.303767,0.218384,0.180505,0.16034,0.1544
256,3,3,128,8,8,1,1,21.2458,0.193988,0.228226,1.05941,0.236213,0.320436,0.288684,0.214727,0.1972,0.202347
