wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
32,3,3,3,4,4,1,1,0.0175223,0.00207107,0.00233847,0.0326712,0.00221673,0.00266151,0.00271999,0.00423098,0.00623068,0.00499361
64,3,3,3,4,4,1,1,0.0342865,0.00332012,0.0035748,0.0647752,0.00346943,0.00416521,0.00426287,0.00554723,0.00819739,0.00647761
128,3,3,3,4,4,1,1,0.0686813,0.00590402,0.00618758,0.130985,0.00605239,0.00741642,0.00750976,0.00806335,0.0121427,0.00960523
256,3,3,3,4,4,1,1,0.138111,0.0109623,0.0112684,0.268438,0.0111344,0.0138309,0.0138569,0.0132212,0.0202659,0.0161129
512,3,3,3,4,4,1,1,0.274684,0.0211015,0.021332,0.659552,0.0212404,0.054407,0.0556297,0.024523,0.0377786,0.0308433
32,3,3,32,4,4,1,1,0.148368,0.01513,0.0197285,0.0914746,0.0172081,0.0207091,0.0206415,0.0150775,0.0201922,0.017449
64,3,3,32,4,4,1,1,0.297148,0.057924,0.0624922,0.131883,0.0591017,0.0669523,0.0640369,0.0254712,0.0333067,0.0290613
128,3,3,32,4,4,1,1,0.593594,0.0675584,0.071053,0.216026,0.0685307,0.0764994,0.0756086,0.0469881,0.0603719,0.0526205
256,3,3,32,4,4,1,1,1.18274,0.0847889,0.0882613,0.38888,0.0855286,0.101605,0.100949,0.0921999,0.116904,0.103008
512,3,3,32,4,4,1,1,2.35849,0.119246,0.123946,0.753916,0.121119,0.153877,0.14997,0.180737,0.500901,0.307791
32,3,3,64,4,4,1,1,0.306998,0.0654365,0.0748391,0.0983284,0.0720357,0.0827267,0.081248,0.0281246,0.0361298,0.0312813
64,3,3,64,4,4,1,1,0.61995,0.071541,0.080141,0.151729,0.0756201,0.0890155,0.0902039,0.0492708,0.0626566,0.0554017
128,3,3,64,4,4,1,1,1.23399,0.0877501,0.099167,0.252882,0.0945716,0.118036,0.111857,0.093633,0.117123,0.103907
256,3,3,64,4,4,1,1,2.47673,0.125565,0.135172,0.453581,0.129433,0.159879,0.159033,0.182186,0.494758,0.307565
512,3,3,64,4,4,1,1,4.93333,0.194175,0.203417,0.901261,0.19996,0.257069,0.255595,0.4999,0.591135,0.568295
32,3,3,128,4,4,1,1,0.62394,0.083654,0.104384,0.115687,0.0963391,0.122519,0.12025,0.0543183,0.0688042,0.0599018
64,3,3,128,4,4,1,1,1.24888,0.0936154,0.1146,0.187233,0.108155,0.13312,0.134156,0.100644,0.125628,0.11121
128,3,3,128,4,4,1,1,2.5035,0.130848,0.151976,0.329598,0.143637,0.182882,0.185154,0.185154,0.519834,0.312758
256,3,3,128,4,4,1,1,5.048,0.199681,0.220848,0.595006,0.212404,0.276091,0.273035,0.503119,0.615498,0.55786
512,3,3,128,4,4,1,1,10.026,0.344116,0.364504,1.14966,0.36075,0.468101,0.469231,0.952762,0.804019,0.831947
32,3,3,256,4,4,1,1,1.30104,0.128792,0.168634,0.15758,0.157233,0.19425,0.1998,0.108836,0.138466,0.122011
64,3,3,256,4,4,1,1,2.52362,0.1443,0.189719,0.26197,0.176554,0.220158,0.220264,0.198295,0.530892,0.335412
128,3,3,256,4,4,1,1,5.1732,0.215282,0.256148,0.47358,0.245267,0.310366,0.316056,0.508435,0.646253,0.582751
256,3,3,256,4,4,1,1,10.148,0.347464,0.392773,0.899102,0.379303,0.500701,0.510204,0.968992,0.868229,0.880458
512,3,3,256,4,4,1,1,20.348,0.634221,0.676081,1.76,0.663793,0.88952,0.888099,2.0016,1.29354,1.43908
32,3,3,512,4,4,1,1,2.56667,0.212404,0.292569,0.236008,0.280955,0.345304,0.353678,0.216263,0.604837,0.363709
64,3,3,512,4,4,1,1,5.1398,0.252525,0.334448,0.427802,0.322358,0.387297,0.39992,0.504032,0.665912,0.568523
