wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,PartiallyUnrolledInputExplicitOutPaddingConvolution,PartiallyUnrolledInputExplicitPaddingConvolution
32,3,3,3,4,4,1,1,0.0199537,0.0130565,0.0134066,0.0609013,0.0133358,0.0179314,0.0180304,0.0163479,0.0278924,0.0223095
64,3,3,3,4,4,1,1,0.039336,0.0256634,0.025943,0.12866,0.0259188,0.0353232,0.0354635,0.0302151,0.051717,0.0415351
128,3,3,3,4,4,1,1,0.0785669,0.0512768,0.0512505,0.252781,0.0512453,0.0699105,0.0700673,0.0577834,0.1002,0.0802182
256,3,3,3,4,4,1,1,0.157264,0.101502,0.101688,0.606917,0.101854,0.140174,0.140095,0.113688,0.196812,0.157729
512,3,3,3,4,4,1,1,0.313346,0.203004,0.202963,1.3336,0.202922,0.278763,0.278918,0.224865,0.389486,0.313409
32,3,3,32,4,4,1,1,0.156722,0.164528,0.168805,0.326436,0.166279,0.227467,0.22779,0.108389,0.187163,0.149477
64,3,3,32,4,4,1,1,0.31243,0.328863,0.332447,0.650585,0.330231,0.452851,0.45308,0.215889,0.372301,0.297619
128,3,3,32,4,4,1,1,0.626408,0.658158,0.659025,1.30916,0.657424,0.903249,0.906159,0.429185,0.745455,0.597136
256,3,3,32,4,4,1,1,1.25175,1.30995,1.31444,2.62461,1.31126,1.8036,1.8036,0.868056,1.50541,1.20264
512,3,3,32,4,4,1,1,2.506,2.63421,2.62356,5.25104,2.62251,3.60576,3.60504,1.95292,3.37517,2.69839
32,3,3,64,4,4,1,1,0.326649,0.334291,0.349058,0.689793,0.34592,0.469859,0.469137,0.235516,0.406829,0.324886
64,3,3,64,4,4,1,1,0.655105,0.666178,0.67962,1.37692,0.678049,0.928757,0.930669,0.469577,0.813659,0.651302
128,3,3,64,4,4,1,1,1.30391,1.33165,1.35094,2.7511,1.34771,1.85778,1.85815,0.962885,1.66833,1.3385
256,3,3,64,4,4,1,1,2.60729,2.66649,2.69785,5.5033,2.69301,3.70294,3.69118,1.98571,3.46207,2.76409
512,3,3,64,4,4,1,1,5.22396,5.32872,5.37553,11.0152,5.36702,7.38088,7.40147,4.36087,7.55522,6.04458
32,3,3,128,4,4,1,1,0.663395,0.672849,0.694175,1.44207,0.686694,0.938649,0.941165,0.505152,0.87108,0.697629
64,3,3,128,4,4,1,1,1.33032,1.34624,1.36667,2.89075,1.35924,1.86245,1.86245,1.02041,1.76444,1.40873
128,3,3,128,4,4,1,1,2.6582,2.68449,2.71676,5.77931,2.70703,3.71407,3.71185,2.05802,3.56525,2.84659
256,3,3,128,4,4,1,1,5.30632,5.35213,5.4129,11.5795,5.39785,7.42206,7.43971,4.12787,7.15714,5.71023
512,3,3,128,4,4,1,1,10.6167,10.6894,10.7957,23.1636,10.7872,14.8118,14.8235,9.04643,15.7125,12.5325
32,3,3,256,4,4,1,1,1.34182,1.3496,1.39471,2.95706,1.38232,1.90038,1.90076,1.04969,1.81818,1.45304
64,3,3,256,4,4,1,1,2.68182,2.69301,2.73552,5.90471,2.72391,3.74627,3.76316,2.10588,3.63841,2.90173
128,3,3,256,4,4,1,1,5.3734,5.37553,5.43804,11.8256,5.42903,7.48657,7.47164,4.1925,7.27536,5.80805
256,3,3,256,4,4,1,1,10.7702,10.7532,10.866,23.7227,10.8298,15.0088,14.9941,9.05714,15.6091,12.5325
512,3,3,256,4,4,1,1,21.5208,21.5708,21.7208,47.6273,21.7826,30.0824,29.9471,33.34,58.4444,46.2909
32,3,3,512,4,4,1,1,2.68871,2.7027,5.001,5.98571,4.8932,7.73077,7.81562,2.13106,3.69044,2.94118
64,3,3,512,4,4,1,1,5.39247,5.3914,9.87843,12.0095,9.78269,15.297,15.4364,4.25932,7.37206,5.87442
128,3,3,512,4,4,1,1,10.7681,10.7809,19.3462,23.9857,19.45,30.7118,30.5824,9.06964,15.7156,12.635
256,3,3,512,4,4,1,1,21.5833,21.5833,38.6923,48.0455,38.6692,61.1333,61.2222,33.1812,57.7667,45.9364
512,3,3,512,4,4,1,1,43.2667,43.2833,77.6714,96.1833,77.7143,122.6,123.36,67.3625,116.12,93.15
32,3,3,3,8,8,1,1,0.0798722,0.0520508,0.0521485,0.15846,0.0520562,0.0635324,0.0636132,0.0724848,0.0972006,0.0880747
64,3,3,3,8,8,1,1,0.15748,0.102838,0.102396,0.317322,0.102187,0.12444,0.12462,0.135199,0.182452,0.166367
128,3,3,3,8,8,1,1,0.314268,0.205549,0.203624,0.654581,0.203666,0.248139,0.248559,0.263158,0.353607,0.322566
256,3,3,3,8,8,1,1,0.631148,0.407579,0.406336,1.37824,0.406748,0.497018,0.496429,0.519751,0.695278,0.635152
512,3,3,3,8,8,1,1,1.26861,0.816803,0.815309,3.48889,0.814146,1.00321,0.999002,1.05284,1.3826,1.26785
32,3,3,32,8,8,1,1,0.627068,0.664011,0.681199,0.899281,0.673854,0.808562,0.811345,0.494071,0.660158,0.60036
64,3,3,32,8,8,1,1,1.25125,1.31522,1.33653,1.79071,1.3344,1.60192,1.60673,0.985039,1.31496,1.20072
128,3,3,32,8,8,1,1,2.52727,2.62775,2.66649,3.62319,2.66223,3.22115,3.21282,1.95938,2.63089,2.39952
256,3,3,32,8,8,1,1,5.001,5.23438,5.33511,7.43676,5.35638,6.42436,6.4359,3.95669,5.32766,4.85192
512,3,3,32,8,8,1,1,10.058,10.4938,10.6312,14.8088,10.6553,12.8,12.9718,9.30926,12.0119,10.8717
32,3,3,64,8,8,1,1,1.30443,1.3385,1.35951,1.89735,1.35189,1.65894,1.66093,1.07823,1.43994,1.31979
64,3,3,64,8,8,1,1,2.60104,2.67181,2.69892,3.80985,2.6957,3.30132,3.30263,2.15279,2.88333,2.62461
128,3,3,64,8,8,1,1,5.22813,5.32766,5.37957,7.62121,5.36809,6.57273,6.57532,4.36783,5.9,5.37742
256,3,3,64,8,8,1,1,10.4708,10.6312,10.7277,15.2333,10.7021,13.0949,13.141,9.07321,12.1286,11.0478
512,3,3,64,8,8,1,1,20.9083,21.2625,21.4333,30.7118,21.4125,26.155,26.215,19.9423,26.7526,24.4
32,3,3,128,8,8,1,1,2.6582,2.70595,5.75172,4.06129,5.67303,3.86923,3.97063,2.30691,3.09321,2.79665
64,3,3,128,8,8,1,1,5.29579,5.35426,11.2156,8.08065,11.2756,7.58939,7.56269,4.65833,6.24691,5.66966
128,3,3,128,8,8,1,1,10.6104,10.766,22.0478,16.2355,22.187,15.1697,15.1382,9.43585,12.66,11.4955
256,3,3,128,8,8,1,1,21.1875,21.4042,45.375,32.0438,44.3583,29.9824,30.1471,18.9037,25.37,23.0273
512,3,3,128,8,8,1,1,42.5667,42.7917,87.9833,65.2125,88.6,62.1778,59.8889,41.4,55.6444,50.62
32,3,3,256,8,8,1,1,5.40215,5.40645,12.0476,8.22951,12.031,13.1,12.0786,4.7981,6.45,5.83488
64,3,3,256,8,8,1,1,10.7426,10.7574,24.0143,16.4258,24.0524,26.8632,24.181,9.62115,12.9026,11.7233
128,3,3,256,8,8,1,1,21.4875,21.5792,47.5545,32.8687,47.9364,53.11,47.1727,19.1889,25.75,23.3773
256,3,3,256,8,8,1,1,43.1,43.05,95.6,66.0375,94.2167,69.4125,93.8833,41.2615,55.17,50.24
512,3,3,256,8,8,1,1,86.3333,86.3333,190.533,132.55,191.8,206.6,183.967,153.7,206.1,188.633
32,3,3,512,8,8,1,1,10.7362,10.8277,24.1667,16.6032,24.1524,29.6118,29.4444,9.73269,13.0231,11.8744
64,3,3,512,8,8,1,1,21.5625,21.6083,48.2182,33.2375,48.0727,58.4222,58.5889,19.4923,25.98,23.6227
128,3,3,512,8,8,1,1,43.1417,43.2167,96.6,66.6875,95.5,117.06,117.62,41.4923,55.7889,51.19
256,3,3,512,8,8,1,1,86.45,86.4833,193.867,133.7,193.567,233.133,232.2,153.625,205.767,185.167
512,3,3,512,8,8,1,1,172.4,172.467,386.85,268.1,385.95,468.5,470.8,307.6,412.25,376.9
32,3,3,3,16,16,1,1,0.316582,0.208943,0.206653,0.498008,0.20538,0.229825,0.23078,0.301386,0.354933,0.337197
64,3,3,3,16,16,1,1,0.629849,0.412201,0.408742,1.01833,0.407079,0.456804,0.458478,0.571543,0.66885,0.63857
128,3,3,3,16,16,1,1,1.25564,0.822368,0.814658,2.06379,0.815309,0.914077,0.914077,1.112,1.29534,1.24502
256,3,3,3,16,16,1,1,2.53182,1.63094,1.6316,4.23697,1.62565,1.82628,1.82036,2.19518,2.55561,2.45392
