wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cI                                                                                                          rFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
32,3,3,3,4,4,1,1,1.87052,0.075188,0.0799616,0.0756201,0.0765345,blas_bug,0.106906,0.10421,0.103584,0.565311,0.0532538,0.066454,0.0782595,0.101771,0.120366,0.127577
64,3,3,3,4,4,1,1,3.71407,0.116686,0.125976,0.117897,0.120077,blas_bug,0.154131,0.147623,0.14828,1.11969,0.0829325,0.111682,0.123518,0.153563,0.192124,0.206612
128,3,3,3,4,4,1,1,7.42794,0.204039,0.225372,0.206057,0.210924,blas_bug,0.253343,0.23596,0.238987,2.23438,0.141764,0.201005,0.212718,0.256674,0.336902,0.365036
256,3,3,3,4,4,1,1,14.8676,0.381326,0.425532,0.382555,0.392392,blas_bug,0.453902,0.412448,0.42042,4.47589,0.260114,0.381098,0.39293,0.471698,0.632238,0.688981
512,3,3,3,4,4,1,1,29.7294,0.731725,0.845439,0.733284,0.753313,blas_bug,0.873647,0.76311,0.781719,9.63019,0.499102,0.429074,0.428449,0.9163,1.24378,1.34906
32,3,3,32,4,4,1,1,18.2036,0.460589,0.502915,0.469671,0.468697,blas_bug,1.02834,1.01602,0.993849,0.749102,0.460166,0.5831,0.702809,0.349058,0.482915,0.422908
64,3,3,32,4,4,1,1,36.4,0.290418,0.338295,0.285714,0.308642,blas_bug,0.940414,0.870609,0.892157,1.45275,0.463333,0.614373,0.743491,0.644144,0.906341,0.78959
128,3,3,32,4,4,1,1,72.7714,0.544662,0.645161,0.530647,0.55371,blas_bug,1.21898,1.12081,1.16134,2.94588,0.716905,1.03644,1.14862,1.19689,1.7486,1.51848
256,3,3,32,4,4,1,1,145.525,1.03971,1.25945,1.02623,1.06759,blas_bug,1.85519,1.60577,1.65347,6.21975,1.28256,1.88792,2.03293,2.3684,3.48056,3.02349
512,3,3,32,4,4,1,1,291.4,2.3106,2.90405,2.48905,2.27545,blas_bug,3.4993,3.09568,2.75934,13.5514,2.77747,4.12541,4.13223,4.86214,3.72519,5.52418
32,3,3,64,4,4,1,1,36.15,0.312954,0.336022,0.30656,0.301568,blas_bug,1.5036,1.56563,1.46862,0.924769,0.653133,0.785557,1.10752,0.62956,0.890925,0.755891
64,3,3,64,4,4,1,1,72.2857,0.544989,0.670588,0.541712,0.550661,blas_bug,1.8348,1.76961,1.7116,1.86468,0.894991,1.21211,1.46064,1.18697,1.69627,1.43266
128,3,3,64,4,4,1,1,144.55,1.08848,1.29152,1.05953,1.06034,blas_bug,2.5055,2.24063,2.26923,3.86462,1.42102,2.07967,2.27727,2.26516,3.334,2.81573
256,3,3,64,4,4,1,1,289.4,2.3782,2.785,2.30876,2.10546,blas_bug,3.9746,3.68235,3.29145,8.11774,2.79888,3.97302,4.29573,4.71495,3.75373,5.16907
512,3,3,64,4,4,1,1,579.2,4.69346,6.55065,5.05253,4.58807,blas_bug,7.76462,6.28375,5.82209,16.77,5.89412,8.0381,8.5678,4.70748,7.27101,6.00952
32,3,3,128,4,4,1,1,72.0857,0.595374,0.668717,0.568942,0.574828,blas_bug,3.01446,2.94235,2.98036,1.32891,1.27157,1.56304,2.13234,1.1844,1.7116,1.42131
64,3,3,128,4,4,1,1,144.125,1.08078,1.2602,1.07131,1.04749,blas_bug,3.73507,3.52535,3.40748,2.68556,1.81522,2.35849,2.97798,2.25202,3.31656,2.75495
128,3,3,128,4,4,1,1,288.55,2.35117,2.7544,2.1211,2.11519,blas_bug,5.17216,4.56727,4.48304,5.76818,2.92456,4.27863,4.65463,4.42478,3.66861,4.98218
256,3,3,128,4,4,1,1,577.3,4.80962,5.55934,4.52432,4.17333,blas_bug,7.97187,6.94861,6.62763,12.15,5.47391,7.95556,8.44,4.81154,7.40735,5.82791
512,3,3,128,4,4,1,1,1155,9.74038,12.6675,10.114,9.36667,blas_bug,15.5152,12.4,11.6558,24.1286,11.3659,16.3935,16.6161,9.16727,14.5943,11.2956
32,3,3,256,4,4,1,1,144,1.16102,1.24158,1.12867,1.1147,blas_bug,5.95952,5.99524,6.01786,2.23393,2.48366,3.20637,4.19167,2.37773,3.47292,2.85625
64,3,3,256,4,4,1,1,292.65,2.28136,2.41594,2.19737,2.13149,blas_bug,7.14789,7.09859,6.96027,4.52703,3.72444,4.88932,6.08554,4.46696,3.61007,4.74151
128,3,3,256,4,4,1,1,577.1,4.81923,5.32553,4.47321,4.11803,blas_bug,10.052,9.40741,8.78246,9.81373,5.98452,8.7,9.45094,5.031,7.26522,5.97024
256,3,3,256,4,4,1,1,1154.5,9.30182,10.8085,8.81754,8.21613,blas_bug,16.2688,13.7216,13.2684,20.2423,10.7128,15.8812,16.629,9.32407,14.6343,11.2156
512,3,3,256,4,4,1,1,2309.1,19.25,25.44,18.8926,17.8862,blas_bug,30.9706,24.2905,22.8304,42.575,21.9625,30.9941,31.525,18.1714,28.7889,21.8565
32,3,3,512,4,4,1,1,289.1,2.38429,2.7478,2.30507,2.34533,blas_bug,12.2488,11.9595,11.7628,4.16667,5.39247,6.55974,8.84912,4.65463,3.7037,5.00594
