wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
32,3,3,3,4,4,1,1,0.0183117,0.00109731,0.00117919,0.00126544,0.00117645,0.00136062,0.00149459,0.00153409,0.00148978,0.0483559,0.00140819,0.00145316,0.00152205,0.00410792,0.00429185,0.00421053
64,3,3,3,4,4,1,1,0.0365497,0.00153764,0.00157356,0.00188218,0.00157098,0.00174446,0.00170388,0.00212218,0.00170461,0.0971062,0.00197552,0.00216042,0.00223043,0.00476976,0.00542529,0.00528268
128,3,3,3,4,4,1,1,0.0728438,0.00234039,0.00238765,0.0030767,0.00237278,0.00261338,0.00307749,0.00334267,0.00304791,0.19305,0.00322545,0.00373703,0.00383007,0.00635962,0.007936,0.00756991
256,3,3,3,4,4,1,1,0.145264,0.00432646,0.00437855,0.00558497,0.00417408,0.00460414,0.00440141,0.00584795,0.0042073,0.448253,0.00573289,0.0061736,0.00615271,0.00985882,0.0132226,0.0124825
512,3,3,3,4,4,1,1,0.29036,0.012603,0.0111047,0.0122684,0.0108755,0.0113859,0.0100533,0.0124134,0.00991611,0.816993,0.0126926,0.0168526,0.0173352,0.018305,0.0455415,0.0309502
32,3,3,32,4,4,1,1,0.156593,0.0149589,0.0228582,0.017974,0.0232786,0.0218598,0.020668,0.0237225,0.0203062,0.0688137,0.0208091,0.0331895,0.0252857,0.00719839,0.00912309,0.00820412
64,3,3,32,4,4,1,1,0.3125,0.0199275,0.0291817,0.0256594,0.0285959,0.0280269,0.0226912,0.0314941,0.0256713,0.125881,0.0261247,0.0327611,0.0307787,0.0107269,0.0150444,0.0129577
128,3,3,32,4,4,1,1,0.625,0.0245531,0.0283962,0.0256358,0.0258304,0.0219703,0.0223304,0.0248917,0.0242424,0.236742,0.0225897,0.0337952,0.0285079,0.0181864,0.0280191,0.0234885
256,3,3,32,4,4,1,1,1.25188,0.0287621,0.033661,0.0313185,0.0311333,0.0264522,0.0334851,0.0317925,0.029746,0.452489,0.0269295,0.0398819,0.0362345,0.0452776,0.0817929,0.079466
512,3,3,32,4,4,1,1,2.52652,0.0342419,0.0375291,0.0329576,0.0290259,0.0374167,0.0414766,0.0385981,0.0330011,0.85034,0.0321895,0.0559159,0.0493876,0.128833,0.16276,0.129232
32,3,3,64,4,4,1,1,0.326747,0.0187105,0.029976,0.0263783,0.0327118,0.0369905,0.0366113,0.0426876,0.036062,0.0641766,0.0367972,0.0399457,0.0369276,0.010457,0.0141896,0.0122294
64,3,3,64,4,4,1,1,0.650195,0.0228634,0.0336406,0.0343572,0.0348675,0.0395757,0.035643,0.052105,0.0364724,0.126486,0.0430404,0.0561545,0.0488091,0.0171034,0.0256213,0.0214335
128,3,3,64,4,4,1,1,1.30679,0.0391481,0.0476963,0.0353657,0.0378461,0.0538445,0.0448937,0.0475466,0.0395319,0.246305,0.0434179,0.0528821,0.0457373,0.0449115,0.08726,0.0740083
256,3,3,64,4,4,1,1,2.61589,0.0387928,0.0441579,0.042219,0.038429,0.0510725,0.0511404,0.0504895,0.0433539,0.466418,0.0494364,0.0814598,0.0749064,0.0984834,0.0979816,0.10018
512,3,3,64,4,4,1,1,5.2526,0.0626566,0.0621891,0.050746,0.0482067,0.069667,0.0844452,0.0742942,0.0659457,0.926852,0.0725058,0.0935454,0.0816727,0.116523,0.130617,0.126291
32,3,3,128,4,4,1,1,0.664011,0.0325818,0.0487057,0.0412814,0.0531011,0.0699692,0.0613572,0.0887154,0.0665247,0.0726744,0.0577167,0.0862069,0.0684992,0.0175469,0.0257679,0.0215193
64,3,3,128,4,4,1,1,1.3254,0.0410745,0.0551146,0.0488043,0.0497711,0.084246,0.0746124,0.0995818,0.0733138,0.142045,0.0675111,0.105363,0.0861626,0.0460957,0.111185,0.0860882
128,3,3,128,4,4,1,1,2.66888,0.0613121,0.0597872,0.0589414,0.0530729,0.0967118,0.0851209,0.0767931,0.0717566,0.26469,0.068086,0.0896024,0.0731957,0.128833,0.127096,0.105307
256,3,3,128,4,4,1,1,5.32713,0.0733891,0.0819672,0.068157,0.0618353,0.118511,0.131822,0.116604,0.0953289,0.518932,0.0889462,0.122971,0.133752,0.134989,0.101729,0.100482
512,3,3,128,4,4,1,1,10.625,0.0952381,0.112587,0.0941974,0.0718288,0.113502,0.141643,0.124595,0.104384,0.912409,0.119589,0.166722,0.136724,0.137627,0.139198,0.130039
32,3,3,256,4,4,1,1,1.34973,0.04914,0.0621813,0.0541184,0.0618047,0.108909,0.112587,0.125565,0.110821,0.0777847,0.081646,0.111259,0.102041,0.0443341,0.0860733,0.0727379
64,3,3,256,4,4,1,1,2.68316,0.0557662,0.0617665,0.0644413,0.0745379,0.125344,0.152579,0.131096,0.14455,0.156642,0.0975039,0.148544,0.119255,0.123122,0.109818,0.121625
128,3,3,256,4,4,1,1,5.40591,0.0681756,0.0632671,0.0788395,0.0714898,0.136949,0.123701,0.133511,0.144774,0.276549,0.0994431,0.139899,0.125502,0.127161,0.125471,0.130753
256,3,3,256,4,4,1,1,10.7447,0.0952381,0.135906,0.108366,0.0869868,0.177494,0.19857,0.190835,0.163827,0.501502,0.123885,0.141203,0.152346,0.14455,0.106792,0.109027
512,3,3,256,4,4,1,1,21.7717,0.172533,0.236967,0.146284,0.11343,0.19857,0.292398,0.228728,0.172473,0.948767,0.190042,0.287356,0.257334,0.219491,0.24975,0.236072
32,3,3,512,4,4,1,1,2.68952,0.0865302,0.0954198,0.0988751,0.108625,0.163026,0.159286,0.216544,0.190042,0.0944759,0.146413,0.168634,0.161202,0.144134,0.110035,0.122011
64,3,3,512,4,4,1,1,5.38978,0.10582,0.100908,0.1001,0.12968,0.18031,0.191473,0.183759,0.19478,0.172652,0.17454,0.201857,0.191351,0.175623,0.160927,0.17157
128,3,3,512,4,4,1,1,10.7766,0.147016,0.135099,0.159185,0.123487,0.225327,0.216826,0.202593,0.186706,0.318182,0.199203,0.225632,0.238923,0.183891,0.183824,0.160411
256,3,3,512,4,4,1,1,21.4896,0.186428,0.263158,0.185736,0.154121,0.323834,0.352113,0.274273,0.239693,0.598802,0.248633,0.26455,0.282326,0.23753,0.233645,0.226757
512,3,3,512,4,4,1,1,43.2917,0.333278,0.442087,0.274123,0.193723,0.367647,0.51947,0.403877,0.29976,1.11167,0.374626,0.584404,0.51466,0.42517,0.458295,0.413565
32,3,3,3,8,8,1,1,0.0729395,0.0034507,0.00363172,0.00331875,0.00361517,0.00309387,0.00289251,0.00297557,0.00286246,0.101792,0.0027177,0.00337345,0.00352866,0.00672034,0.00759728,0.00731775
64,3,3,3,8,8,1,1,0.145603,0.00477445,0.00581767,0.00594205,0.00588401,0.0044287,0.00448664,0.00546514,0.00446576,0.294118,0.00524175,0.0144175,0.0135448,0.00990432,0.0115741,0.0113125
128,3,3,3,8,8,1,1,0.291886,0.0131686,0.0141993,0.0137931,0.0151879,0.0140913,0.0134145,0.0152611,0.0134445,0.534188,0.0144121,0.0202634,0.0185302,0.0177683,0.0317078,0.0264915
256,3,3,3,8,8,1,1,0.58101,0.0148633,0.015751,0.0166295,0.0150159,0.0247415,0.0149361,0.0258304,0.01532,1.0015,0.0240883,0.0276549,0.0261684,0.034009,0.0483559,0.0547166
512,3,3,3,8,8,1,1,1.1655,0.023131,0.01901,0.0246172,0.017148,0.0215332,0.0174004,0.0221533,0.0217033,2.00803,0.0206554,0.0286977,0.0253126,0.152253,0.112385,0.113533
32,3,3,32,8,8,1,1,0.627353,0.0401252,0.0767695,0.0435996,0.0751654,0.0534074,0.0592222,0.055212,0.0573,0.153894,0.0429037,0.0802053,0.0551876,0.0202519,0.0240177,0.0224286
64,3,3,32,8,8,1,1,1.25439,0.0350091,0.0619195,0.0423549,0.0632431,0.0575242,0.0693674,0.067659,0.0605254,0.290698,0.0538155,0.0948047,0.0637755,0.052843,0.0774473,0.0752785
128,3,3,32,8,8,1,1,2.505,0.0522357,0.0697837,0.0567408,0.0629327,0.0788271,0.0724323,0.070932,0.0627904,0.542888,0.0579643,0.0953333,0.0681849,0.119275,0.0982704,0.0916254
256,3,3,32,8,8,1,1,5.0025,0.0681292,0.0764069,0.0662252,0.0763942,0.106746,0.0950751,0.10016,0.0678702,1.04489,0.0707814,0.128469,0.0935804,0.135759,0.136799,0.136277
512,3,3,32,8,8,1,1,10.005,0.114207,0.0927128,0.0990295,0.0835003,0.112309,0.0941442,0.117454,0.0849618,2.02218,0.0877039,0.163185,0.136911,0.242836,0.210277,0.229568
32,3,3,64,8,8,1,1,1.30744,0.0454587,0.130924,0.054401,0.121862,0.125786,0.132415,0.12791,0.121655,0.145349,0.0774833,0.162338,0.101958,0.054609,0.0750638,0.0768049
64,3,3,64,8,8,1,1,2.60104,0.0530279,0.121921,0.0720254,0.11121,0.135943,0.134182,0.147754,0.126135,0.280426,0.0978091,0.180766,0.115955,0.114495,0.0823316,0.0878889
128,3,3,64,8,8,1,1,5.23177,0.097144,0.134735,0.0977135,0.12216,0.151332,0.149209,0.147059,0.137174,0.531051,0.0945001,0.18875,0.127065,0.137931,0.10898,0.117952
256,3,3,64,8,8,1,1,10.4184,0.122493,0.144928,0.125976,0.136129,0.193648,0.170999,0.202511,0.163079,1.002,0.135428,0.219587,0.154895,0.172771,0.160154,0.16176
512,3,3,64,8,8,1,1,20.8854,0.205761,0.178253,0.166334,0.168805,0.222321,0.21815,0.222618,0.184162,1.91762,0.162866,0.267666,0.196541,0.200884,0.229358,0.244738
32,3,3,128,8,8,1,1,2.65344,0.0831532,0.155763,0.0908926,0.14806,0.176678,0.199283,0.184706,0.197316,0.15328,0.135428,0.237982,0.183891,0.115527,0.084076,0.0838364
64,3,3,128,8,8,1,1,5.3,0.0927816,0.158357,0.105108,0.162602,0.192976,0.219106,0.215239,0.213767,0.295858,0.151791,0.265252,0.186012,0.132066,0.101071,0.116171
128,3,3,128,8,8,1,1,10.6702,0.126904,0.17343,0.160668,0.171409,0.220459,0.235183,0.233645,0.222816,0.549122,0.19857,0.301205,0.232775,0.192678,0.152952,0.165235
256,3,3,128,8,8,1,1,21.2604,0.200884,0.254453,0.210704,0.20842,0.236407,0.252908,0.227561,0.23663,1.04167,0.238322,0.30503,0.270856,0.213584,0.182216,0.182017
512,3,3,128,8,8,1,1,42.5417,0.387297,0.301537,0.246548,0.253036,0.40456,0.409705,0.431406,0.332834,2.21792,0.403753,0.479846,0.419815,0.353107,0.274424,0.282326
32,3,3,256,8,8,1,1,5.36702,0.141123,0.183756,0.140528,0.226142,0.256148,0.295683,0.271887,0.248139,0.18622,0.233442,0.429641,0.345543,0.150376,0.104058,0.111086
64,3,3,256,8,8,1,1,10.734,0.207388,0.22553,0.177494,0.230947,0.308071,0.291886,0.3003,0.291715,0.325733,0.279109,0.501488,0.333778,0.189825,0.138045,0.138389
128,3,3,256,8,8,1,1,21.4167,0.232342,0.296209,0.25355,0.284703,0.347705,0.332005,0.38304,0.334896,0.591608,0.319285,0.49505,0.388997,0.299401,0.18622,0.18457
256,3,3,256,8,8,1,1,42.9583,0.347637,0.384512,0.345543,0.30581,0.373043,0.36613,0.342466,0.420875,1.12838,0.368644,0.485451,0.437118,0.373413,0.303214,0.269833
512,3,3,256,8,8,1,1,85.9167,0.642995,0.626095,0.468165,0.419673,0.772798,0.732796,0.74184,0.538793,2.23333,0.686813,0.912865,0.747015,0.618047,0.645484,0.606364
32,3,3,512,8,8,1,1,10.7766,0.303734,0.37037,0.293083,0.340136,0.47259,0.534152,0.477794,0.540227,0.220848,0.416667,0.667557,0.56772,0.235183,0.130787,0.127877
64,3,3,512,8,8,1,1,21.5313,0.286184,0.351124,0.32218,0.348918,0.579664,0.676707,0.64719,0.671141,0.389408,0.552762,0.759105,0.63857,0.295334,0.220848,0.199521
128,3,3,512,8,8,1,1,43.1458,0.397772,0.44543,0.469484,0.459137,0.740741,0.669344,0.705571,0.657687,0.740399,0.619888,0.927644,0.765697,0.430293,0.326321,0.328515
