wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,PartiallyUnrolledInputExplicitOutPaddingConv,PartiallyUnrolledInputExplicitPaddingConv
32,3,3,3,4,4,1,1,0.0174581,0.00191185,0.00217892,0.00241709,0.00252802,0.00200266,0.00220924,0.00249674,0.0025605,0.0369467,0.00237868,0.00278232,0.00283219,0.00592143,0.00779205,0.00662278
64,3,3,3,4,4,1,1,0.0343926,0.00271707,0.00336775,0.00367145,0.00408868,0.00281909,0.00340669,0.00374844,0.00409722,0.073692,0.00360618,0.00424993,0.004351,0.00687021,0.00950914,0.00787662
128,3,3,3,4,4,1,1,0.0687947,0.00445776,0.00567408,0.00625547,0.00711389,0.00454355,0.0056888,0.00632751,0.0072648,0.146843,0.0061908,0.00754478,0.0076987,0.00876701,0.0126643,0.0102982
256,3,3,3,4,4,1,1,0.140489,0.00806244,0.0106202,0.0113797,0.0136066,0.00810294,0.0106605,0.0115596,0.0133451,0.299222,0.0113412,0.0138635,0.0140355,0.0124614,0.0194507,0.0156318
512,3,3,3,4,4,1,1,0.275179,0.0152425,0.0204449,0.021498,0.0260024,0.0153186,0.020849,0.0217685,0.0257387,0.942561,0.0214509,0.186498,0.187899,0.0214023,0.0349113,0.0282965
32,3,3,32,4,4,1,1,0.147493,0.0123429,0.0135958,0.0162117,0.0166428,0.0148721,0.015502,0.0188338,0.0188161,0.168691,0.0164826,0.019734,0.0195633,0.0137336,0.0189797,0.0159322
64,3,3,32,4,4,1,1,0.297442,0.050844,0.0613572,0.0563063,0.073551,0.0556793,0.062282,0.0580585,0.0642013,0.277162,0.0581666,0.0633794,0.0641766,0.0194772,0.0277408,0.0231439
128,3,3,32,4,4,1,1,0.592012,0.0534702,0.101461,0.0720877,0.11084,0.0749513,0.103584,0.0910249,0.107481,0.492611,0.0858664,0.0930579,0.0977708,0.0332027,0.0473216,0.0397772
256,3,3,32,4,4,1,1,1.19167,0.10879,0.131303,0.113688,0.124969,0.109553,0.123001,0.114443,0.124193,0.67659,0.107735,0.119818,0.11685,0.0602047,0.0857633,0.0717257
512,3,3,32,4,4,1,1,2.36085,0.226963,0.229157,0.219106,0.246063,0.209205,0.222321,0.231812,0.23855,0.972763,0.213584,0.21692,0.225949,0.120656,1.65099,0.844857
32,3,3,64,4,4,1,1,0.31348,0.0238686,0.0260783,0.0314446,0.032652,0.0289017,0.0300788,0.037733,0.0367134,0.197785,0.0336542,0.0395444,0.0402447,0.0226388,0.0314426,0.026356
64,3,3,64,4,4,1,1,0.613051,0.0600312,0.075861,0.0692521,0.0832362,0.0678979,0.0777726,0.0761615,0.0828912,0.287026,0.0717772,0.0849762,0.086326,0.0363557,0.050984,0.0429701
128,3,3,64,4,4,1,1,1.23153,0.0984252,0.125188,0.108249,0.126936,0.101937,0.129299,0.112613,0.134916,0.500751,0.107021,0.112867,0.111632,0.0662515,0.0900414,0.0763709
256,3,3,64,4,4,1,1,2.48756,0.133583,0.187547,0.128535,0.191791,0.132732,0.200723,0.148943,0.198255,0.706982,0.144134,0.157233,0.17307,0.121242,0.801282,0.579664
