wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
32,3,3,3,4,4,1,1,0.234977,0.0716846,0.0794913,0.0727273,0.070028,0.0805153,0.0818331,0.0819672,0.0738552,0.681633,0.0736377,0.0999002,0.100806,0.11919,0.170528,0.143822
64,3,3,3,4,4,1,1,0.464815,0.144863,0.153139,0.145138,0.13624,0.154799,0.155435,0.15528,0.140056,1.42394,0.14881,0.199601,0.201207,0.197244,0.3125,0.262042
128,3,3,3,4,4,1,1,0.9625,0.309568,0.327451,0.316088,0.283051,0.324272,0.330693,0.331126,0.287644,3.58571,0.321543,0.429614,0.431466,0.4175,0.689041,0.56875
256,3,3,3,4,4,1,1,2.5475,0.61411,0.676351,0.62625,0.574713,0.631447,0.683673,0.645161,0.581977,7.85385,0.636076,0.85,0.854701,0.909091,1.56406,1.25875
512,3,3,3,4,4,1,1,6.24706,1.50299,1.44714,1.40278,1.24444,1.53788,1.48088,1.43429,1.25125,16,1.40694,1.80893,1.82545,2.05918,3.35333,2.75676
32,3,3,32,4,4,1,1,2.64737,0.844538,0.955238,0.894643,0.834167,1.03711,1.03505,1.09674,0.930556,1.95385,0.971845,1.31299,1.32237,0.612195,0.940187,0.770769
64,3,3,32,4,4,1,1,6.78,1.84,1.8,1.89434,1.62903,2.08333,1.86852,2.13191,1.70847,4.052,1.97255,2.62564,2.65526,1.24815,1.95192,1.63065
128,3,3,32,4,4,1,1,15.0286,3.98077,3.8,3.99231,3.1625,4.21667,3.86538,4.20833,3.24516,8.6,4.43913,5.38947,5.39474,2.84444,4.34583,3.66429
256,3,3,32,4,4,1,1,34.4667,8.31538,7.99231,7.86154,6.45625,8.55833,8.08462,8.14615,6.525,17.5,8.06154,10.5,10.48,6.04118,8.86667,7.47143
512,3,3,32,4,4,1,1,70.1,16.7833,18.5833,17.0833,13.125,16.9833,16.9667,16.8667,13.3,35.2667,16.8833,21.68,21.62,12.7875,19.0667,16.0571
32,3,3,64,4,4,1,1,6.79333,1.92308,2.10417,1.96471,1.86296,2.34419,2.26,2.3881,2.038,3.41333,2.10625,2.83889,2.86,1.25375,1.91698,1.60317
64,3,3,64,4,4,1,1,15.1143,3.93462,4.048,3.93846,3.48276,4.36087,4.25417,4.38696,3.66071,7.02667,4.136,5.5,5.52632,2.78056,4.24583,3.54483
128,3,3,64,4,4,1,1,34.7333,8.17692,8.35833,8.14615,6.96,8.68333,8.50833,8.65833,7.11333,14.2625,8.39167,10.97,11.01,6.33125,9.6,8.06923
256,3,3,64,4,4,1,1,69.95,16.8667,17.1167,16.9167,13.8625,17.35,17.2,17.3,13.925,28.75,17.25,22.12,22.16,13.2875,19.85,16.8833
512,3,3,64,4,4,1,1,139.9,37.1,36.8667,33.8,27.325,34.3667,36.5,34.1,29.725,58.1,34.1667,43.6,44.8,28.05,40.9,34.7333
32,3,3,128,4,4,1,1,15.5,3.98462,4.47826,4.056,3.88462,4.84762,4.83333,4.90476,4.29167,7.26429,4.53043,5.95294,5.99412,2.94118,4.38261,3.65
64,3,3,128,4,4,1,1,35.7333,8.21538,8.55,8.25385,7.44286,9.13636,8.93333,9.13636,7.75385,14.6143,8.69167,11.4111,11.4778,6.40625,9.51818,8.03846
128,3,3,128,4,4,1,1,75.75,16.75,17.4167,17.55,14.4429,17.7167,17.7833,18.45,14.7714,29.025,18.2,23.72,23.7,13.9625,20.5,17.4333
256,3,3,128,4,4,1,1,143.5,34.3333,35.5667,34.5667,28.475,35.4333,35.8333,35.5333,28.7,58.1,36.3667,46.1667,50.1,29.325,43.3,36.5
512,3,3,128,4,4,1,1,288.5,69.85,74.75,68.65,56.55,70.55,75.3,69.85,56.85,116.4,69.55,89.4,89.65,59.5,85.7,74.05
32,3,3,256,4,4,1,1,36.8,7.93846,9.075,8.02308,7.92308,9.9,9.94545,10,8.80833,14.0875,9.08333,12.8625,11.9333,5.89412,8.79167,7.34286
64,3,3,256,4,4,1,1,74.9,16.3571,17.3333,17.2333,14.9857,18.15,18.2667,19.15,15.9286,28.325,18.15,25.675,23.94,12.9875,20.74,16.0429
128,3,3,256,4,4,1,1,151.7,33.3667,35.2667,35.2667,29.25,38.1,36.4,37.1,29.875,56.5,36.4333,46.9333,47.2333,28.15,41.0333,35.0333
256,3,3,256,4,4,1,1,301.2,68.55,71.5,69.3,57.05,70.55,72.6,71.25,57.9,112.5,70.8,91.25,91.45,59.1,85.25,73.4
512,3,3,256,4,4,1,1,599.7,138.5,149.9,137.8,113.1,140.9,151.3,139.2,113.8,225.7,138.7,179.1,180.2,120.5,172.3,149
32,3,3,512,4,4,1,1,78.55,15.9429,17.8833,16.9833,15.8,19.85,20.28,20.9,18.0833,29.375,18.8167,24.82,24.78,13.225,19.3833,16.2
64,3,3,512,4,4,1,1,159.7,33.025,35,34.9,29.675,36.8667,36.9667,38.7333,31.75,63,36.9333,51.95,48.2667,27.75,44.3333,34.9
128,3,3,512,4,4,1,1,323,66.85,70.75,70.35,57.8,71.3,77.4,76.1,60.1,117.9,73.5,94.8,95,58.4,84.9,72.8
256,3,3,512,4,4,1,1,644.6,137.6,143.6,138.5,113,142,145.2,142.4,124,233.2,141,182.2,182.3,120.9,173.4,150.2
512,3,3,512,4,4,1,1,1272.9,276.1,300.3,273.1,224.9,282.2,304.2,278.7,235.8,467.5,276.8,364.2,359.9,244.7,349.2,302.7
32,3,3,3,8,8,1,1,0.922936,0.283853,0.304255,0.283051,0.292398,0.30303,0.302719,0.305488,0.290145,2.22444,0.286819,0.347059,0.35035,0.436681,0.572,0.520833
64,3,3,3,8,8,1,1,1.84182,0.542162,0.571429,0.547541,0.55,0.571023,0.56875,0.572571,0.546448,5.19,0.552486,0.734307,0.679054,0.945283,1.30519,1.18353
128,3,3,3,8,8,1,1,3.89231,1.16279,1.1375,1.16395,1.0828,1.19167,1.11333,1.19524,1.06383,10.74,1.17765,1.53846,1.54615,2.04898,3.38333,2.97353
256,3,3,3,8,8,1,1,10.2,2.39286,2.32273,2.43095,2.23111,2.41905,2.32045,2.47561,2.23778,23.18,2.43095,3,2.99412,4.32917,5.90588,5.36842
512,3,3,3,8,8,1,1,25.525,5.17,5.005,5.06,4.74545,5.21,5.025,5.105,4.77143,43.7333,5.065,6.15882,6.18235,11.03,15.9714,14.2857
32,3,3,32,8,8,1,1,10.69,3.27742,3.73704,3.25806,3.59286,3.82963,3.90385,3.81852,3.74074,5.74444,3.62857,4.36087,4.42609,2.45854,3.20312,2.92
64,3,3,32,8,8,1,1,26.825,6.65625,7.07333,6.72,6.80667,7.23571,7.21429,7.27857,6.90667,11.9,7.11333,8.51667,8.54167,4.9,6.39375,5.85556
128,3,3,32,8,8,1,1,61,13.975,15.1714,14,13.1625,14.6286,14.2,16.2429,13.5375,24.08,14.5857,17.3167,17.4333,11.1556,14.2625,13.0125
256,3,3,32,8,8,1,1,139.6,27.9,27.9,27.55,25.825,28.725,28.15,28.4,25.775,48.3333,28.05,33.5,33.5333,22.78,30.575,27.7
512,3,3,32,8,8,1,1,284.8,55.7,55.95,54.85,51,56,56.2,55,51.05,95.9,54.9,66.05,66.35,46.3333,61.3,55.75
32,3,3,64,8,8,1,1,27.075,7.06667,7.96154,7.07333,7.63571,8.48333,8.35,8.48333,7.95385,10.95,8.06154,9.31818,9.44545,4.92381,6.275,5.71111
64,3,3,64,8,8,1,1,61.1,14.025,15,13.9625,14.1625,15.3571,15.3,15.4429,14.4714,21.96,14.9286,17.9667,18.0167,10.72,13.7375,12.4667
128,3,3,64,8,8,1,1,139.1,28.65,29.125,28.35,27.125,29.9,29.45,29.925,27.425,43.6667,29.45,35.2667,38.8,24.8,31.375,28.925
256,3,3,64,8,8,1,1,281.9,56.7,57.75,55.6,53.15,58,58.05,57.25,53.55,87.9,57.15,68.5,68.55,48.8333,63.75,58.55
512,3,3,64,8,8,1,1,565,112.5,116.6,111.7,105.2,114.3,116.2,113.6,106,176.5,114,136.7,136.1,98.1,127.5,116.9
32,3,3,128,8,8,1,1,62.3,14.2857,16.2571,14.2857,15.4286,16.9833,17.5667,17.3833,16.3714,21,16.3143,19.2167,19.3333,11.5556,14.3571,14.3571
64,3,3,128,8,8,1,1,141.7,28.4,30.55,28.45,28.825,31.55,31.4,31.55,29.75,41.8333,30.675,36.3,36.5,24.3,31.075,28.525
128,3,3,128,8,8,1,1,287.2,58.35,59.3,58.4,55.55,61.6,60.35,61.6,56.55,82.95,60.65,73,73.6,51.5,66.45,61.8
256,3,3,128,8,8,1,1,574.1,116.4,118.1,116.5,109.3,124.3,127,122.3,110.3,166.4,120.1,143.4,145.5,103.9,140.8,124.2
512,3,3,128,8,8,1,1,1147.6,232.1,236.9,231.5,215.3,235.9,237.9,234.8,216.1,338.7,235.8,282.4,281.4,205.9,266.5,245.2
32,3,3,256,8,8,1,1,147.6,28.6,32.85,28.7,31.425,34.6,34.7,34.8667,33.4667,40.7,32.625,38.3333,38.7,23.48,29.5,27.05
64,3,3,256,8,8,1,1,301.8,57.65,62.15,57.65,58.35,64.15,64.1,64.65,60.25,80.7,62.3,73.75,78.3,54,63.7,58.15
128,3,3,256,8,8,1,1,616.7,118.3,120.8,119.3,113,124,122.7,125.4,115.2,170.3,123.6,149.8,148.7,103.8,133.1,122.5
256,3,3,256,8,8,1,1,1204.4,233.1,239.1,232.9,219.9,239.9,240.8,240.6,222.6,320.6,238.6,285.6,285.6,206.7,266.9,245.4
