wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,VirtuallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
32,3,3,3,4,4,1,1,0.177168,0.0545256,0.0591017,0.0550964,0.0560538,0.0626174,0.0654022,0.0632511,0.0622665,0.429614,0.0531632,0.0711238,0.0719942,0.0892061,0.132626,0.112994
64,3,3,3,4,4,1,1,0.353357,0.0971817,0.106724,0.0979432,0.100604,0.105591,0.11325,0.106045,0.106838,0.854701,0.0962464,0.130378,0.131406,0.151057,0.236407,0.197826
128,3,3,3,4,4,1,1,0.707042,0.185185,0.20387,0.186754,0.191396,0.193617,0.210294,0.195127,0.197436,1.70508,0.185185,0.25025,0.251256,0.274725,0.444444,0.368015
256,3,3,3,4,4,1,1,1.42254,0.362681,0.407317,0.363043,0.373134,0.370741,0.413223,0.371111,0.378788,3.42333,0.361372,0.48878,0.489756,0.531217,0.882456,0.725362
512,3,3,3,4,4,1,1,2.85556,0.715714,0.82377,0.713475,0.733577,0.723741,0.829752,0.721583,0.739706,7.01333,0.712766,0.963462,0.965385,1.06,1.77368,1.45507
32,3,3,32,4,4,1,1,1.22439,0.444444,0.487379,0.455,0.451802,0.591716,0.613497,0.601796,0.578035,1.22805,0.486408,0.664901,0.670667,0.407317,0.641667,0.530688
64,3,3,32,4,4,1,1,2.43333,0.860684,0.937383,0.876522,0.869565,1.006,1.06316,1.02143,0.99505,2.44878,0.906306,1.23049,1.23704,0.774615,1.23951,1.02347
128,3,3,32,4,4,1,1,4.84762,1.685,1.93462,1.71186,1.70508,1.83091,2.05918,1.85741,1.83091,4.89524,1.74138,2.35581,2.36279,1.51818,2.45122,2.018
256,3,3,32,4,4,1,1,9.71818,3.38667,3.85,3.4,3.38667,3.53793,3.97692,3.54828,3.51379,9.92727,3.43,4.63182,4.63636,3.03939,4.91429,4.044
512,3,3,32,4,4,1,1,19.5667,7.11333,9.05833,6.89333,6.89333,7.26429,9.18182,7.04667,7.02,20.42,6.93333,9.3,9.30909,6.19412,9.94545,8.21538
32,3,3,64,4,4,1,1,2.29545,0.872174,0.957143,0.890265,0.884956,1.17326,1.21807,1.19048,1.14432,2.09167,0.95619,1.31299,1.325,0.753383,1.19643,0.986275
64,3,3,64,4,4,1,1,4.56364,1.69831,1.84909,1.72203,1.71017,1.99608,2.10625,2.022,1.96863,4.175,1.78571,2.43095,2.44146,1.45507,2.33256,1.92075
128,3,3,64,4,4,1,1,9.10909,3.35667,3.85385,3.38333,3.37,3.65357,4.112,3.68214,3.63214,8.40833,3.44828,4.67727,4.68636,2.88,4.65,3.82593
256,3,3,64,4,4,1,1,18.3667,7.1,8.86667,6.82667,6.76667,7.4,9.09091,7.12667,7.03333,17.05,6.9,9.30909,9.31818,6.01176,9.59091,7.93846
512,3,3,64,4,4,1,1,37.2333,14.4714,19.7167,13.9625,13.7625,14.7571,20,14.2625,14.0375,34.4667,14.05,18.7333,18.75,12.0556,19.1167,15.8714
