wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
32,3,3,3,4,4,1,1,0.179211,0.0403877,0.041425,0.04095,0.0416667,0.0468384,0.0477783,0.0473934,0.0479157,0.35371,0.0372439,0.0513875,0.0524934,0.0703235,0.097561,0.0837521
64,3,3,3,4,4,1,1,0.35371,0.0690131,0.0714286,0.0708215,0.071582,0.0754717,0.077821,0.0771605,0.0777605,0.703497,0.0670241,0.093985,0.0951475,0.113621,0.166389,0.13986
128,3,3,3,4,4,1,1,0.706338,0.127842,0.133511,0.129702,0.13245,0.134362,0.14,0.13624,0.138696,1.40694,0.126103,0.177482,0.178891,0.1998,0.304878,0.252393
256,3,3,3,4,4,1,1,1.43,0.246914,0.262467,0.247407,0.25601,0.253418,0.268817,0.253807,0.261619,2.81389,0.243902,0.344828,0.346021,0.379167,0.591716,0.485922
512,3,3,3,4,4,1,1,2.85,0.483092,0.529101,0.483092,0.499005,0.489268,0.535294,0.489756,0.505051,5.2,0.479904,0.378788,0.325,0.75,1.17882,0.9625
32,3,3,32,4,4,1,1,1.22317,0.31348,0.318471,0.323226,0.323548,0.451351,0.453846,0.460829,0.458716,0.47619,0.334448,0.480383,0.487379,0.31087,0.46055,0.379924
64,3,3,32,4,4,1,1,2.43333,0.277285,0.241546,0.325733,0.184502,0.469953,0.397619,0.419665,0.360432,1.03196,0.320317,0.473113,0.527895,0.593491,0.892035,0.732847
128,3,3,32,4,4,1,1,4.89524,0.565537,0.429614,0.606667,0.391797,0.675168,0.623602,0.754887,0.513198,2.008,0.664238,0.889381,0.851695,1.12921,1.71525,1.40417
256,3,3,32,4,4,1,1,9.69091,1.19881,0.907207,0.99703,0.784375,1.40845,0.983495,1.26835,0.937383,4.3875,1.01818,1.93846,1.88679,2.29545,3.49655,2.86571
512,3,3,32,4,4,1,1,19.8167,2.68158,2.022,2.68421,1.83091,2.60769,2.16809,2.87143,1.9,9.20909,2.63158,4.25,4.25417,4.61364,3.8037,5.42632
