wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 0.0183918, 0.00231047, 0.00244117, 0.0386041, 0.00223106, 0.00265981, 0.00271286, 0.00461502, 0.00659265, 0.0053582
64, 3, 3, 3, 4, 4, 1, 1, 0.0366166, 0.00361319, 0.00371267, 0.0744269, 0.00364129, 0.00427478, 0.00433475, 0.00558653, 0.00837058, 0.00659796
128, 3, 3, 3, 4, 4, 1, 1, 0.0734754, 0.00626496, 0.00634308, 0.150331, 0.00618284, 0.00756888, 0.00765462, 0.00756407, 0.0116795, 0.00912509
256, 3, 3, 3, 4, 4, 1, 1, 0.145518, 0.0115054, 0.011775, 0.305872, 0.0114375, 0.0140805, 0.0142755, 0.0113786, 0.0189186, 0.0145349
512, 3, 3, 3, 4, 4, 1, 1, 0.293945, 0.021796, 0.0222084, 0.584346, 0.021742, 0.0454339, 0.0444721, 0.0203525, 0.0340716, 0.0273838
32, 3, 3, 32, 4, 4, 1, 1, 0.158128, 0.0164875, 0.019127, 0.0837521, 0.0165147, 0.020061, 0.019813, 0.0122648, 0.018074, 0.0147833
64, 3, 3, 32, 4, 4, 1, 1, 0.318878, 0.0348651, 0.0396385, 0.130141, 0.0379219, 0.0438327, 0.0439329, 0.0185034, 0.0296016, 0.0246938
128, 3, 3, 32, 4, 4, 1, 1, 0.633967, 0.05101, 0.0558098, 0.203335, 0.0552303, 0.0605694, 0.0582208, 0.0321295, 0.046966, 0.0388108
256, 3, 3, 32, 4, 4, 1, 1, 1.25905, 0.0648845, 0.0698227, 0.352502, 0.0677231, 0.0803471, 0.0802182, 0.0600456, 0.0882145, 0.0735078
512, 3, 3, 32, 4, 4, 1, 1, 2.53858, 0.097352, 0.0993246, 0.646124, 0.0959509, 0.114916, 0.121448, 0.120303, 0.398328, 0.223414
32, 3, 3, 64, 4, 4, 1, 1, 0.328, 0.0319632, 0.037733, 0.0971628, 0.0341997, 0.0400192, 0.0407365, 0.0214436, 0.0313224, 0.0283302
64, 3, 3, 64, 4, 4, 1, 1, 0.675676, 0.0548727, 0.0618506, 0.13498, 0.0567279, 0.0725479, 0.0730034, 0.0357245, 0.0499401, 0.0416979
128, 3, 3, 64, 4, 4, 1, 1, 1.32302, 0.0672043, 0.0770891, 0.225169, 0.0702642, 0.0821693, 0.0823859, 0.0617132, 0.0886525, 0.0750751
256, 3, 3, 64, 4, 4, 1, 1, 2.63158, 0.0943931, 0.102606, 0.396197, 0.107157, 0.121065, 0.121153, 0.11426, 0.379939, 0.212537
512, 3, 3, 64, 4, 4, 1, 1, 5.26421, 0.14988, 0.159681, 0.728863, 0.158812, 0.204959, 0.208549, 0.40866, 0.430181, 0.423266
32, 3, 3, 128, 4, 4, 1, 1, 0.665293, 0.0657722, 0.0772082, 0.10618, 0.0700673, 0.0827815, 0.0851934, 0.042244, 0.0600384, 0.0495737
64, 3, 3, 128, 4, 4, 1, 1, 1.34489, 0.0893176, 0.103821, 0.166978, 0.0969556, 0.128494, 0.13245, 0.0691276, 0.0949307, 0.0803084
128, 3, 3, 128, 4, 4, 1, 1, 2.73934, 0.107898, 0.117233, 0.27115, 0.109004, 0.139315, 0.138226, 0.122609, 0.387529, 0.218627
256, 3, 3, 128, 4, 4, 1, 1, 5.37634, 0.154019, 0.179019, 0.479215, 0.162813, 0.202184, 0.206271, 0.411605, 0.432987, 0.40502
