wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 0.0198373, 0.00129785, 0.0015732, 0.0489524, 0.00142994, 0.00147005, 0.00153228, 0.0040627, 0.00428284, 0.00430096
64, 3, 3, 3, 4, 4, 1, 1, 0.0367918, 0.00192597, 0.00226331, 0.0973141, 0.00199876, 0.00218523, 0.00224967, 0.00484111, 0.00553269, 0.0054257
128, 3, 3, 3, 4, 4, 1, 1, 0.0742611, 0.00311783, 0.0033717, 0.224966, 0.00338967, 0.00541906, 0.00524714, 0.00643368, 0.00817207, 0.00766918
256, 3, 3, 3, 4, 4, 1, 1, 0.145138, 0.0062637, 0.00653287, 0.420252, 0.00640993, 0.00755675, 0.00811873, 0.00972233, 0.013684, 0.0128826
512, 3, 3, 3, 4, 4, 1, 1, 0.292056, 0.00743561, 0.00832695, 0.805636, 0.00863155, 0.0108371, 0.0107698, 0.0196541, 0.0296736, 0.025535
32, 3, 3, 32, 4, 4, 1, 1, 0.156446, 0.0114847, 0.0149156, 0.0617818, 0.0116825, 0.0138885, 0.0132506, 0.0073345, 0.00921744, 0.00850977
64, 3, 3, 32, 4, 4, 1, 1, 0.327207, 0.0145155, 0.0192493, 0.116768, 0.0167718, 0.0192305, 0.0168237, 0.0108852, 0.0155222, 0.0135212
128, 3, 3, 32, 4, 4, 1, 1, 0.629849, 0.0176635, 0.0212657, 0.234615, 0.0169814, 0.0209925, 0.0197707, 0.02345, 0.03909, 0.0383289
256, 3, 3, 32, 4, 4, 1, 1, 1.24577, 0.024426, 0.0285665, 0.458059, 0.028516, 0.0336247, 0.0305885, 0.0464863, 0.0567601, 0.0541653
512, 3, 3, 32, 4, 4, 1, 1, 2.47389, 0.0387928, 0.0414662, 0.85247, 0.0418796, 0.056205, 0.0536366, 0.0683901, 0.071286, 0.0703334
32, 3, 3, 64, 4, 4, 1, 1, 0.328947, 0.0161181, 0.0259215, 0.0630597, 0.0226829, 0.0248139, 0.0258224, 0.0107724, 0.015157, 0.0124956
64, 3, 3, 64, 4, 4, 1, 1, 0.648057, 0.0228009, 0.0351198, 0.127681, 0.0329034, 0.0387194, 0.035256, 0.0218207, 0.0372578, 0.0365684
128, 3, 3, 64, 4, 4, 1, 1, 1.3624, 0.0253949, 0.0344139, 0.245098, 0.0328709, 0.0363689, 0.036224, 0.0488474, 0.0504745, 0.0449802
256, 3, 3, 64, 4, 4, 1, 1, 2.65132, 0.0416889, 0.055212, 0.469765, 0.0465289, 0.0579039, 0.0611845, 0.056205, 0.0662603, 0.0627589
