wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
32, 3, 3, 3, 4, 4, 1, 1, 0.0187667, 0.00216352, 0.00238916, 0.0338639, 0.0024318, 0.00274837, 0.00280357, 0.00439785, 0.00644912, 0.00522041
64, 3, 3, 3, 4, 4, 1, 1, 0.0369058, 0.00339803, 0.00369102, 0.0669075, 0.00356789, 0.00431224, 0.00435013, 0.00577167, 0.00835841, 0.00672296
128, 3, 3, 3, 4, 4, 1, 1, 0.0738771, 0.00610277, 0.00637731, 0.136463, 0.00632047, 0.00761847, 0.00777629, 0.00837507, 0.0125811, 0.0100198
256, 3, 3, 3, 4, 4, 1, 1, 0.147449, 0.011303, 0.0116293, 0.274383, 0.0114064, 0.0142523, 0.0144919, 0.0137359, 0.0210031, 0.0167454
512, 3, 3, 3, 4, 4, 1, 1, 0.295334, 0.0215862, 0.02166, 0.637707, 0.0215657, 0.0615536, 0.0615839, 0.0256082, 0.0391543, 0.0320801
32, 3, 3, 32, 4, 4, 1, 1, 0.158228, 0.0160318, 0.0209153, 0.0939496, 0.0180943, 0.0216882, 0.0216854, 0.0157292, 0.0206937, 0.0179462
64, 3, 3, 32, 4, 4, 1, 1, 0.318066, 0.0646162, 0.0699986, 0.144718, 0.0660589, 0.0759301, 0.0732279, 0.0262619, 0.0344899, 0.0296279
128, 3, 3, 32, 4, 4, 1, 1, 0.630353, 0.0809585, 0.0884017, 0.23855, 0.0799616, 0.0926956, 0.0926784, 0.0480815, 0.062027, 0.0543951
256, 3, 3, 32, 4, 4, 1, 1, 1.27005, 0.105864, 0.11121, 0.43993, 0.112994, 0.134725, 0.139978, 0.0947508, 0.122754, 0.109242
512, 3, 3, 32, 4, 4, 1, 1, 2.52778, 0.159827, 0.167898, 0.745156, 0.168294, 0.206738, 0.202963, 0.185185, 0.515036, 0.32453
